level_0,id,T,formula,database,zT_pred,zT_std,rough_correlation
56792,1526197,700,CdGa2Se4,COD,1.13494,0.319898,226.323
73317,640078,1000,In8Nd4Ni7,ICSD,0.534471,0.305984,226.681
69416,4118564,1000,Ge16Rb14Zn,COD,0.511502,0.302233,227.047
62212,300150,1000,Cs6GaK3Sb4,ICSD,0.510139,0.294739,227.161
81369,656380,1000,Sb3Sm5,ICSD,0.568051,0.30801,227.261
56799,619918,1000,CdGd,ICSD,0.531218,0.313883,227.326
81839,80076,1000,TeZn,ICSD,1.14848,0.318973,227.613
81839,80076,700,TeZn,ICSD,1.01109,0.294306,227.613
57124,415108,1000,Ce2Ge2In,ICSD,0.515149,0.290275,228.488
56153,619378,1000,CaIn2Ni,ICSD,0.508843,0.291241,228.514
73215,7221337,1000,In41K17,COD,0.563657,0.303739,228.961
68277,1523309,1000,Ga2Y,COD,0.570768,0.278176,228.974
56809,411775,1000,CdGdPd,ICSD,0.515233,0.308926,229.063
75314,2019431,1000,Li2Sm5Sn7,COD,0.676916,0.303437,229.107
63361,628743,1000,Cu4Pr3Sn4,ICSD,0.537587,0.325567,229.313
81567,413715,1000,Si19Te8,ICSD,0.534315,0.318111,229.343
68187,634818,1000,Ga2Nd3Ni6,ICSD,0.510119,0.301089,229.404
68482,635697,1000,Ga5Zr3,ICSD,0.507089,0.303969,229.545
70484,637858,700,GeSe2,ICSD,1.04798,0.324447,229.554
70484,637858,1000,GeSe2,ICSD,1.16162,0.324407,229.554
56423,43035,700,Cd13In26Se54,ICSD,1.14482,0.307181,229.61
56423,43035,1000,Cd13In26Se54,ICSD,1.1885,0.328325,229.61
57871,9008336,700,CeTe2,COD,0.518158,0.326137,229.799
65659,631585,700,EuRu4Sb12,ICSD,0.773515,0.328422,230.078
60551,240095,1000,CoGdSn2,ICSD,0.575819,0.323178,230.408
75167,1521989,1000,LaTe2,COD,0.671592,0.243633,230.409
68283,2106103,1000,Ga39Na22,COD,0.581434,0.29859,231.065
64203,628777,700,CuRh2Se4,ICSD,0.920412,0.304836,231.255
64203,628777,1000,CuRh2Se4,ICSD,1.11148,0.319469,231.255
81409,423292,1000,SbSm2,ICSD,0.545866,0.296664,231.3
61819,56387,1000,Cs2In2Sb3,ICSD,0.597311,0.294436,231.446
57046,620548,700,CdTe2Tl,ICSD,1.27735,0.272576,231.511
57859,1526918,1000,CeSbTe,COD,0.555496,0.284784,231.516
73308,400669,700,In7Te10,ICSD,1.1762,0.319082,231.533
61948,658702,1000,Cs2PdSb2,ICSD,0.500683,0.298997,231.701
81731,1523050,700,SnTe3Tl4,COD,1.23278,0.320392,231.796
62739,2102082,700,Cu10PSe6,COD,0.783827,0.3189,231.806
57821,98658,1000,CeRbTe2,ICSD,0.538781,0.315299,232.117
70133,81469,1000,GeIn4La3,ICSD,0.547836,0.256377,232.238
72369,4000660,700,HgSnTe4Tl2,COD,1.29727,0.272903,232.445
80173,648514,700,PbSe,ICSD,1.16514,0.316666,232.464
81417,651642,700,SbTe2Tl,ICSD,1.16829,0.271994,232.54
69413,636686,700,Ge15In8K4,ICSD,0.504651,0.267096,232.54
57047,620549,700,CdTe4Tl2,ICSD,1.25805,0.263768,232.586
68869,1523116,1000,GaSm3,COD,0.501654,0.321354,232.791
81408,9008720,1000,SbSm,COD,0.548846,0.304316,232.963
57733,621640,1000,CeNiSb2,ICSD,0.571131,0.315837,232.98
69890,76512,1000,Ge4Ni4Pr3,ICSD,0.530826,0.32708,233.188
69146,2310167,1000,GdIn,COD,0.54411,0.327538,233.394
73140,2005745,1000,In2Rb2Sb3,COD,0.596986,0.293569,233.491
73177,4339489,1000,In3MgSr,COD,0.520671,0.285774,233.532
62100,53243,1000,Cs3Sb,ICSD,0.503451,0.30573,233.946
68622,634431,700,GaInSe3,ICSD,1.12788,0.300789,234.122
68622,634431,1000,GaInSe3,ICSD,1.18832,0.314029,234.122
60719,658918,700,CoIn2Se4,ICSD,1.12677,0.316248,234.389
73190,370026,1000,In3Rb2,ICSD,0.563766,0.301145,234.546
57297,622236,1000,Ce3Sn5,ICSD,0.57152,0.289024,234.625
65686,405050,1000,EuSnZn,ICSD,0.504903,0.308432,234.669
81128,9012406,700,RuSe2,COD,0.885876,0.328551,234.838
56634,52832,700,Cd6Sb5,ICSD,1.11652,0.272826,234.848
56634,52832,1000,Cd6Sb5,ICSD,1.22004,0.312207,234.848
57041,4000658,700,CdSnTe4Tl2,COD,1.31419,0.261102,234.91
64335,107343,1000,Dy2InPd2,ICSD,0.536461,0.32795,234.968
56569,76500,700,Cd3Sb3Tl2,ICSD,1.30754,0.294969,234.97
81732,73666,700,SnTe5Tl2,ICSD,1.16947,0.266984,235.164
68106,7221336,1000,Ga29In12Na17,COD,0.568922,0.291319,235.619
57045,246692,700,CdTe,ICSD,1.05199,0.326186,235.721
56467,192555,1000,Cd2Gd,ICSD,0.564023,0.31817,235.951
69740,414575,1000,Ge3LiSr2,ICSD,0.533932,0.270727,236.2
61501,83907,1000,CrLaSb3,ICSD,0.547027,0.312636,236.319
69908,2014978,1000,Ge4Se9,COD,1.16231,0.324395,236.355
69908,2014978,700,Ge4Se9,COD,1.04746,0.324844,236.355
56033,422525,1000,CaGa2P2,ICSD,0.502764,0.326462,236.666
80307,648842,700,Pd5SeTl,ICSD,1.23744,0.306934,236.797
81403,36537,700,SbSe2Tl,ICSD,1.18956,0.287046,236.858
68556,634238,1000,GaGdPd,ICSD,0.539098,0.328605,236.862
69417,192630,700,Ge17K3,ICSD,0.575284,0.327757,236.956
61820,1525490,1000,Cs2In3,COD,0.562947,0.307086,237.086
81666,152627,1000,SmSnZn,ICSD,0.512273,0.317299,237.186
75149,641892,1000,LaSb2,ICSD,0.563217,0.298519,237.275
55675,58894,1000,Ca3Ga5,ICSD,0.552777,0.292114,237.301
70106,1532042,700,GeHg2Se4,COD,1.22914,0.329649,237.31
68395,1533157,1000,Ga4LiY,COD,0.563726,0.269243,237.352
65230,4313906,1000,Eu10Mn6Sb13,COD,0.582646,0.299443,237.369
55464,420619,1000,Ca2Cd2KSb3,ICSD,0.648103,0.254474,237.431
73241,165134,1000,In4Pd2Tb5,ICSD,0.505525,0.328989,237.491
80911,650282,700,Rh2Se3,ICSD,0.896029,0.317302,237.702
56794,619865,1000,CdGaGd,ICSD,0.552627,0.328658,237.906
80574,1522860,700,Pt2Sn3,COD,1.22912,0.305848,237.985
80357,8101145,700,PdSe,COD,0.863635,0.323507,238.012
73153,36468,1000,In2Sb6Sr5,ICSD,0.536925,0.278053,238.039
81434,9008882,700,SbZn,COD,1.09213,0.187381,238.108
81434,9008882,1000,SbZn,COD,1.13843,0.249965,238.108
73041,4334474,700,In12Te23,COD,1.16937,0.327528,238.193
72227,4000819,700,Hg3Te4Tl2,COD,1.25357,0.323816,238.218
81368,651550,1000,Sb3Sm4,ICSD,0.573093,0.30586,238.247
73164,5910286,700,In2Te4Zn,COD,1.18229,0.318468,238.474
65398,421139,1000,Eu8In3,ICSD,0.515048,0.327713,238.65
67596,632049,1000,FeGe2La,ICSD,0.501548,0.282276,238.845
68448,23227,1000,Ga5Mg2,ICSD,0.597632,0.293321,238.975
81548,108293,1000,SeSn,ICSD,1.12483,0.301466,239.142
81548,108293,700,SeSn,ICSD,1.04023,0.308464,239.142
72654,107071,1000,HoSbZr,ICSD,0.508454,0.285243,239.227
57521,621030,1000,CeFeGe2,ICSD,0.546075,0.311933,239.44
81485,652213,1000,Se2Zn,ICSD,1.2226,0.306669,239.633
81485,652213,700,Se2Zn,ICSD,1.02896,0.320371,239.633
69115,411185,1000,GdGePd,ICSD,0.518399,0.308975,239.707
73036,370033,1000,In11Rb8,ICSD,0.553085,0.303435,239.714
69147,635832,1000,GdIn2Ni,ICSD,0.593383,0.315308,240.224
56031,8103269,1000,CaGa2Ni,COD,0.540162,0.317174,240.293
69423,400448,700,Ge20In3K4,ICSD,0.56936,0.294792,240.354
56854,58982,700,CdHg2,ICSD,1.10464,0.323232,240.528
61626,626577,700,CrRh2Se4,ICSD,0.849286,0.324098,240.741
69414,4118563,1000,Ge16K14Zn,COD,0.511268,0.293653,240.859
68147,300196,1000,Ga2K2Sb3,ICSD,0.610705,0.297351,240.921
62293,420782,1000,CsCuTe4Y2,ICSD,0.507641,0.30705,241.25
56030,619281,1000,CaGa2,ICSD,0.557816,0.307511,241.307
68258,5910318,700,Ga2Se4Zn,COD,1.14306,0.322149,241.375
80946,9008145,700,Rh3Se8,COD,0.935072,0.325783,241.62
80946,9008145,1000,Rh3Se8,COD,1.13625,0.327057,241.62
68420,4001921,1000,Ga4Se7Sn,COD,1.20505,0.309987,241.678
68420,4001921,700,Ga4Se7Sn,COD,1.1451,0.30172,241.678
81397,1524598,700,Sb5Zn6,COD,1.07733,0.171355,241.697
81397,1524598,1000,Sb5Zn6,COD,1.13441,0.235363,241.697
81337,9007437,1000,Sb2Se3,COD,1.11337,0.309713,241.718
81337,9007437,700,Sb2Se3,COD,1.03699,0.313981,241.718
56882,422273,1000,CdK2Sb2Sr,ICSD,0.506693,0.328272,242.116
60541,157336,1000,CoGd5Sb2,ICSD,0.505874,0.304775,242.264
60961,624899,700,CoSb2,ICSD,0.803677,0.280183,242.359
60961,624899,1000,CoSb2,ICSD,0.949425,0.323951,242.359
62943,628287,1000,Cu2LiP2Y,ICSD,0.543217,0.328317,242.43
73107,59450,1000,In2NiTb,ICSD,0.585492,0.322259,242.444
57381,622219,1000,Ce5Sn3,ICSD,0.512411,0.296854,242.459
69869,425788,1000,Ge4Lu2Nb3,ICSD,0.514012,0.321406,242.55
65683,108434,1000,EuSn,ICSD,0.538909,0.323015,242.649
72191,1531463,700,Hg2Se4Sn,COD,1.23078,0.309478,242.697
73105,411077,1000,In2NiPr,ICSD,0.521506,0.290199,242.71
57134,621220,1000,Ce2Ge6Li,ICSD,0.671681,0.323439,242.72
56597,8100910,1000,Cd4GeSe6,COD,1.16551,0.306728,242.752
56597,8100910,700,Cd4GeSe6,COD,1.09631,0.322625,242.752
57293,4000204,1000,Ce3Sb5Ti,COD,0.549042,0.283437,242.757
70483,53906,1000,GeSe,ICSD,1.1707,0.313239,242.881
70483,53906,700,GeSe,ICSD,1.06806,0.320236,242.881
73659,1527853,700,InTe2Tl,COD,1.23966,0.320231,242.932
81719,165183,1000,Sn5Sr3,ICSD,0.570332,0.275161,243.035
80529,657389,1000,PrSn2,ICSD,0.599761,0.287627,243.071
57869,420050,1000,CeSnZn,ICSD,0.502137,0.292832,243.136
68426,1522456,1000,Ga4Ti2Y,COD,0.51241,0.282513,243.235
73035,62893,1000,In11Ni6Pr5,ICSD,0.524808,0.289887,243.262
75152,601624,1000,LaSbTe,ICSD,0.514134,0.279011,243.296
68419,635353,1000,Ga4ScV2,ICSD,0.505314,0.280004,243.298
56457,420621,700,Cd2Eu2KSb3,ICSD,0.51992,0.325294,243.311
68190,1523732,1000,Ga2NdNi,COD,0.587428,0.318869,243.436
55673,58899,1000,Ca3Ga4Ni4,ICSD,0.50261,0.283519,243.514
73303,165188,1000,In7K2Sr,ICSD,0.593207,0.27741,243.536
81661,652648,1000,Sm5Sn3,ICSD,0.549456,0.311653,243.65
69911,86728,1000,Ge4Tb2Ti3,ICSD,0.565597,0.308023,243.657
81423,1010882,700,SbTl,COD,1.1427,0.31523,243.954
56769,619856,1000,CdEuSn,ICSD,0.513316,0.307924,243.984
55667,423781,1000,Ca3Ga2P4,ICSD,0.507893,0.327539,244.048
55519,4320128,1000,Ca2Ge2InLi,COD,0.511484,0.325488,244.06
81473,43857,1000,Se2Sn,ICSD,1.1283,0.31614,244.08
81473,43857,700,Se2Sn,ICSD,1.02582,0.3205,244.08
74861,165185,1000,La3Sn5,ICSD,0.546628,0.279261,244.087
68480,635659,1000,Ga5Y3,ICSD,0.552167,0.283349,244.149
57035,620451,700,CdSe2Tl,ICSD,1.29178,0.29266,244.345
69154,415506,1000,GdInPd,ICSD,0.517579,0.316432,244.389
80655,4343873,700,Pt8Sb11Sn14,COD,1.31814,0.304708,244.478
55481,4002083,700,Ca2Co2O5,COD,0.551982,0.27332,244.487
55481,4002083,1000,Ca2Co2O5,COD,0.886775,0.312642,244.487
65231,417820,1000,Eu11InSb9,ICSD,0.535998,0.30317,244.552
69569,1517992,1000,Ge2Na4Te5,COD,0.581166,0.301599,244.765
73341,4304497,1000,In9Se14,COD,1.17969,0.312888,244.823
73341,4304497,700,In9Se14,COD,1.12462,0.301136,244.823
81333,4113278,1000,Sb10Zn13,COD,1.14911,0.23636,244.85
81333,4113278,700,Sb10Zn13,COD,1.0903,0.140598,244.85
81363,9015418,700,Sb2Zn,COD,1.0836,0.243306,244.866
81363,9015418,1000,Sb2Zn,COD,1.13123,0.269974,244.866
73070,51951,1000,In2La,ICSD,0.52879,0.283705,244.973
67607,632096,1000,FeGe2Pr,ICSD,0.52498,0.32252,244.994
60108,42538,700,Co3Se4,ICSD,0.78576,0.327966,245.007
73293,165364,1000,In5Y3,ICSD,0.509995,0.283007,245.049
80453,4000205,1000,Pr3Sb5Ti,COD,0.517632,0.292476,245.17
80502,649242,700,PrRu4Sb12,ICSD,0.766633,0.322119,245.299
69683,26415,700,Ge2Se5Tl2,ICSD,1.21086,0.289067,245.364
60979,9012536,700,CoSe2,COD,0.840576,0.325349,245.384
68515,634262,700,Ga8Ge15Na4,ICSD,0.561603,0.314959,245.698
73163,44364,700,In2Te3,ICSD,1.17542,0.319352,246.07
67443,633160,1000,Fe4PrSb12,ICSD,0.895713,0.298412,246.138
67443,633160,700,Fe4PrSb12,ICSD,0.758703,0.147088,246.138
67601,632077,1000,FeGe2Nd,ICSD,0.581151,0.328912,246.361
70272,4000661,700,GeMnTe4Tl2,COD,1.29694,0.28692,246.532
63260,658640,1000,Cu3Sb4Sm3,ICSD,0.549238,0.322943,246.548
56493,620185,1000,Cd2Nd,ICSD,0.526512,0.314987,246.809
68472,635339,1000,Ga5Sc3,ICSD,0.530997,0.289855,246.85
69681,637839,1000,Ge2Sc,ICSD,0.539442,0.289507,246.879
73165,2106460,700,In2Te5,COD,1.11853,0.324146,246.898
65511,631348,1000,EuInPd,ICSD,0.507671,0.318161,247.014
67444,658733,700,Fe4Sb12Sr,ICSD,0.793089,0.242175,247.052
69793,164893,1000,Ge3PrV,ICSD,0.517286,0.321948,247.064
81650,652643,1000,Sm11Sn10,ICSD,0.57879,0.318532,247.152
81456,106965,1000,ScSn2,ICSD,0.526017,0.283367,247.184
80457,649398,1000,Pr3Sn5,ICSD,0.593627,0.298896,247.225
60938,657992,1000,CoPrSb2,ICSD,0.551992,0.328445,247.296
80184,77882,700,PbTe,ICSD,1.05342,0.265485,247.39
69273,656591,1000,GdPdZn,ICSD,0.521386,0.309626,247.631
61835,2006421,1000,Cs2Mn3Te4,COD,0.503223,0.31684,247.683
63250,658639,1000,Cu3Pr3Sb4,ICSD,0.563436,0.316577,247.954
63267,1528745,700,Cu3Se2,COD,0.720237,0.2805,248.354
63267,1528745,1000,Cu3Se2,COD,1.11208,0.287158,248.354
68902,191480,1000,Gd11In9Pd4,ICSD,0.510041,0.315647,248.384
64238,418754,700,CuSbSe2,ICSD,1.04221,0.308985,248.409
64238,418754,1000,CuSbSe2,ICSD,1.17039,0.317834,248.409
57044,1524580,1000,CdTb,COD,0.528963,0.327101,248.426
65235,57272,1000,Eu14MnSb11,ICSD,0.521598,0.310992,248.612
57033,9011664,1000,CdSe,COD,1.172,0.299903,248.74
57033,9011664,700,CdSe,COD,1.00671,0.308009,248.74
56633,413701,1000,Cd6Sb12Sr11,ICSD,0.520575,0.284773,248.765
57738,621687,1000,CeNiSn2,ICSD,0.594184,0.299491,248.854
56746,108205,1000,CdCuGd,ICSD,0.522026,0.317329,249.006
57442,657991,1000,CeCoSb2,ICSD,0.567026,0.319725,249.158
73160,414235,1000,In2Sr,ICSD,0.538822,0.302376,249.205
69271,1522798,1000,GdPdSn,COD,0.508441,0.299235,249.432
74860,423418,1000,La3Sn4,ICSD,0.542631,0.269426,249.438
70126,201144,700,GeI3Tl,ICSD,1.24115,0.326815,249.801
80171,250250,700,PbSb2Te4,ICSD,1.0844,0.325627,250.034
68901,167634,1000,Gd11In9Ni4,ICSD,0.537423,0.317241,250.128
81660,652647,1000,Sm4Sn3,ICSD,0.569773,0.323638,250.275
69077,601388,1000,Gd5Sb3,ICSD,0.581232,0.318838,250.324
73130,4302601,700,In2Pb4Sb4Se13,COD,1.21119,0.275503,250.35
57034,620416,1000,CdSe2,ICSD,1.1831,0.285279,250.59
57034,620416,700,CdSe2,ICSD,1.03214,0.300249,250.59
69081,636458,1000,Gd5Sn4,ICSD,0.57686,0.321044,250.601
64283,629347,700,CuTe3Tl4,ICSD,1.31062,0.313386,250.623
69153,635836,1000,GdInNi,ICSD,0.534153,0.318795,250.672
62885,656158,700,Cu2HgSnTe4,ICSD,1.28834,0.301873,251.034
57069,622227,1000,Ce11Sn10,ICSD,0.508658,0.29317,251.129
74422,98654,1000,KLaTe2,ICSD,0.508451,0.294289,251.258
73159,5910326,700,In2Se4Zn,COD,1.13257,0.315109,251.431
80074,1524520,700,Pb2Pd,COD,1.24872,0.328629,251.447
64535,629738,1000,DyGa4Ti2,ICSD,0.590994,0.32209,251.699
68914,88173,1000,Gd2Ge4Ti3,ICSD,0.562316,0.298815,251.948
57529,188330,1000,CeGa2Ni,ICSD,0.545851,0.305582,252.068
57613,412515,1000,CeIn2Ni,ICSD,0.52453,0.289165,252.097
73034,410093,1000,In11Nd5Ni6,ICSD,0.571588,0.298865,252.367
69087,260932,1000,Gd6NiTe2,ICSD,0.509844,0.303266,252.464
81355,76499,700,Sb2TlZn2,ICSD,1.31277,0.287551,252.618
59715,622688,1000,Co2Dy3In4,ICSD,0.564922,0.321563,252.709
68863,281757,700,GaSe2,ICSD,1.08157,0.320425,252.766
68863,281757,1000,GaSe2,ICSD,1.19939,0.322869,252.766
57611,621366,1000,CeIn2,ICSD,0.542902,0.301947,252.832
63222,57207,1000,Cu3Nd3Sb4,ICSD,0.547712,0.322646,252.834
72367,247764,700,HgSe4SnTl2,ICSD,1.31813,0.28809,252.914
63266,400652,1000,Cu3SbSe4,ICSD,1.10244,0.317982,253.07
56734,619784,700,CdCu2Se4Sn,ICSD,1.10732,0.326983,253.206
65234,4001655,1000,Eu14InSb11,COD,0.536612,0.303247,253.625
68857,9008847,700,GaSb,COD,1.09796,0.307022,253.687
68857,9008847,1000,GaSb,COD,1.13583,0.317995,253.687
80517,649309,1000,PrSb2,ICSD,0.598629,0.302658,253.728
62844,656155,700,Cu2GeHgTe4,ICSD,1.28731,0.300773,253.807
62883,627936,700,Cu2HgSe4Sn,ICSD,1.25849,0.329228,253.887
59847,1524263,1000,Co2La3Sn7,COD,0.506127,0.288857,253.898
55522,25323,1000,Ca2Ge3Li,ICSD,0.549134,0.266348,254.081
69966,20612,1000,Ge5Y3,ICSD,0.507178,0.29246,254.558
69426,26300,700,Ge23K4,ICSD,0.572721,0.323458,254.894
69069,157337,1000,Gd5NiSb2,ICSD,0.51011,0.299541,254.952
68512,2106106,700,Ga7Rb,COD,0.543237,0.315731,255.322
73108,413459,1000,In2NiY,ICSD,0.514638,0.24245,255.613
72366,247763,700,HgSe4SiTl2,ICSD,1.31219,0.323981,255.736
73156,1376,700,In2Se3,ICSD,1.12469,0.298038,255.842
73156,1376,1000,In2Se3,ICSD,1.17728,0.313843,255.842
57518,621065,1000,CeFe4Sb12,ICSD,0.881017,0.282215,255.861
57518,621065,700,CeFe4Sb12,ICSD,0.761737,0.109816,255.861
64626,629948,1000,DyMnSn2,ICSD,0.597335,0.300014,255.869
57298,63667,1000,Ce3Sn7,ICSD,0.620071,0.290042,255.952
57448,4002000,1000,CeCrGe3,COD,0.536742,0.310468,256
68514,400668,700,Ga7Te10,ICSD,1.16707,0.26369,256.189
68514,400668,1000,Ga7Te10,ICSD,1.17851,0.307323,256.189
68424,635504,1000,Ga4TbTi2,ICSD,0.585838,0.320918,256.325
72872,151997,700,I5InPb2,ICSD,1.22973,0.320459,256.433
57028,9008881,1000,CdSb,COD,1.22722,0.319362,256.555
57028,9008881,700,CdSb,COD,1.13721,0.273469,256.555
68418,635352,1000,Ga4ScTi2,ICSD,0.503121,0.280905,256.777
72277,5910288,700,HgIn2Se4,COD,1.22177,0.309592,256.963
57438,620738,1000,CeCoGe2,ICSD,0.541153,0.317227,256.986
70504,69035,700,GeTe5Tl2,ICSD,1.20323,0.257466,257.306
59738,157364,1000,Co2Ga7Mg3,ICSD,0.513719,0.298167,257.341
55810,36466,1000,Ca5Ga2Sb6,ICSD,0.570328,0.279108,257.408
57382,1527417,1000,Ce5Sn4,COD,0.502446,0.294929,257.81
57360,2208745,1000,Ce5In4Pt2,COD,0.504266,0.327365,257.929
64244,9000063,700,CuSe,COD,0.827562,0.325134,258.077
64244,9000063,1000,CuSe,COD,1.10525,0.311281,258.077
68898,184241,1000,Gd11Ge4In6,ICSD,0.545222,0.312939,258.648
56766,619854,1000,CdEuGe,ICSD,0.515717,0.306886,258.756
67424,79927,700,Fe4NdSb12,ICSD,0.781071,0.186106,258.865
63470,69593,1000,Cu8GeSe6,ICSD,1.14049,0.309874,258.897
62940,628282,1000,Cu2LiP,ICSD,0.539663,0.314992,259.146
73972,411279,1000,K2LiSn4,ICSD,0.573478,0.324187,259.191
68922,658296,1000,Gd2InPd2,ICSD,0.500491,0.29157,259.548
67076,1524856,1000,Fe2Ga6Sc3,COD,0.51203,0.282545,260.183
68696,1523635,1000,GaMg2,COD,0.513351,0.305759,260.384
68920,1522649,1000,Gd2In,COD,0.549106,0.322621,260.471
57030,7222183,700,CdSbTl,COD,1.33354,0.276062,260.473
69052,150368,1000,Gd4NiTe2,ICSD,0.509591,0.316587,260.555
69080,636456,1000,Gd5Sn3,ICSD,0.579857,0.316315,260.642
69230,1522797,1000,GdNiSn,COD,0.520428,0.316427,260.88
70502,49658,700,GeTe3Tl3,ICSD,1.27722,0.312744,261.023
57364,4307876,1000,Ce5Li2Sn7,COD,0.656633,0.307673,261.194
72278,5910237,700,HgIn2Te4,COD,1.19513,0.329448,261.549
75620,411278,1000,LiRb2Sn4,ICSD,0.571041,0.326736,262.794
80358,4310736,700,PdSe2,COD,0.943235,0.328569,263.524
