,id,T,formula,database,zT_pred,zT_std
3797,41107,1000,As4GeTe7,ICSD,1.08193,0.290781
3834,611376,1000,As4Se3,ICSD,1.15978,0.322627
3859,31877,700,As5ITe7,ICSD,1.10144,0.30172
3859,31877,1000,As5ITe7,ICSD,1.13108,0.320662
3872,27,1000,As6Ca5Ga2,ICSD,0.55442,0.296993
3873,61037,1000,As6Ca5Sn2,ICSD,0.537427,0.284346
3878,8103673,700,As6Cu7Se13,COD,1.0373,0.322259
3878,8103673,1000,As6Cu7Se13,COD,1.20391,0.323474
3890,4329210,1000,As6Sn2Sr5,COD,0.535232,0.288501
4028,432,700,AsCd,ICSD,1.07904,0.23877
4028,432,1000,AsCd,ICSD,1.14852,0.262379
4139,610361,1000,AsCu3Se4,ICSD,1.12036,0.317667
4158,42884,700,AsCuSe2,ICSD,1.04536,0.322126
4158,42884,1000,AsCuSe2,ICSD,1.20153,0.326729
4395,4321149,1000,AsLaTe,COD,0.510414,0.322981
4519,1527777,700,AsPb2Pd3,COD,1.31228,0.32356
4572,9001315,700,AsSb,COD,1.01974,0.320765
4576,4031223,700,AsSe,COD,1.05079,0.317831
4576,4031223,1000,AsSe,COD,1.16356,0.320842
4577,412790,700,AsSe2Tl,ICSD,1.18741,0.312441
4579,611388,700,AsSe4Tl3,ICSD,1.2547,0.30323
4597,44071,700,AsTe,ICSD,1.05648,0.291593
4597,44071,1000,AsTe,ICSD,1.08643,0.308495
4611,4340531,700,AsZn,COD,1.06939,0.275807
4611,4340531,1000,AsZn,COD,1.18619,0.286155
4990,416287,700,AuBi8Br9Sb,ICSD,1.26579,0.328816
5316,150127,700,AuNi2Sn4,ICSD,1.24938,0.302608
5376,1510301,700,AuSn,COD,1.16119,0.329549
5390,9011287,700,AuTe2,COD,1.07518,0.324343
7914,418886,1000,Ba11Cd6Sb12,ICSD,0.597302,0.253333
8002,420620,1000,Ba2Cd2KSb3,ICSD,0.651008,0.237056
8003,7024288,1000,Ba2Cd2Sb3,COD,0.593284,0.304123
8011,248938,1000,Ba2CeInTe5,ICSD,0.587654,0.288443
8434,61089,1000,Ba2Sb3,ICSD,0.520082,0.327636
8439,49751,1000,Ba2SiTe4,ICSD,0.513732,0.317998
8463,4306710,1000,Ba3Cd2Sb4,COD,0.610476,0.303392
8664,167166,1000,Ba3Sn5,ICSD,0.59455,0.284477
8803,62305,1000,Ba5In2Sb6,ICSD,0.574347,0.268951
8804,2240552,1000,Ba5In4Sb6,COD,0.583448,0.3
8892,60583,1000,Ba7Ga4Sb9,ICSD,0.597449,0.274573
8990,4308071,1000,BaCaSn3,COD,0.582214,0.27915
8993,58643,1000,BaCd2,ICSD,0.541111,0.326626
9293,658735,700,BaFe4Sb12,ICSD,0.789831,0.207129
9303,58649,1000,BaGa2,ICSD,0.509318,0.328814
9307,4316404,1000,BaGa2P2,COD,0.515928,0.31002
9312,615865,700,BaGa4,ICSD,0.516855,0.300382
9352,4341884,700,BaGe5,COD,0.539247,0.322644
9428,58657,1000,BaIn2,ICSD,0.5666,0.303763
9536,7221197,1000,BaMnSb2,COD,0.514748,0.283718
9834,8102994,1000,BaSn2,COD,0.594821,0.308163
10183,412895,700,Bi14Br16Pd,ICSD,1.27206,0.323481
10210,159465,700,Bi2BrInSe4,ICSD,1.27583,0.285601
10314,1527926,700,Bi2Ge3Te6,COD,1.19071,0.297826
10316,30394,700,Bi2GeTe4,ICSD,1.18053,0.286465
10420,30372,700,Bi2Pb2Se5,ICSD,1.18829,0.308222
10421,42708,700,Bi2Pb2Te5,ICSD,1.12569,0.279996
10425,616936,700,Bi2PbTe4,ICSD,1.1166,0.281415
10430,58840,700,Bi2Pd5,ICSD,1.18658,0.324697
10443,617096,700,Bi2Se3,ICSD,1.16209,0.323375
10446,9012858,700,Bi2Te3,COD,1.07384,0.318488
10453,408138,700,Bi34Br37Ir3,ICSD,1.2194,0.328372
10454,391191,700,Bi37Br48In,ICSD,1.26863,0.306586
10458,411096,700,Bi3BrSe4,ICSD,1.18563,0.314927
10486,423016,700,Bi3IIn2Se7,ICSD,1.27114,0.292252
10510,616947,700,Bi3Pd8,ICSD,1.18142,0.319505
10516,20386,700,Bi3Se4,ICSD,1.16189,0.324526
10534,415130,700,Bi4Br4Ga,ICSD,1.31571,0.282997
10557,42891,700,Bi4GeTe7,ICSD,1.18089,0.285949
10578,4340717,700,Bi4Pb7Se13,COD,1.19174,0.30756
10579,42707,700,Bi4PbTe7,ICSD,1.11679,0.289232
10582,236253,700,Bi4SnTe7,ICSD,1.14544,0.298486
10583,9011203,700,Bi4Te3,COD,1.05057,0.327127
10609,1528273,700,Bi6Br7,COD,1.16584,0.326978
10629,1531626,700,Bi6PbTe10,COD,1.10906,0.295108
10649,42665,700,Bi8Se9,ICSD,1.16589,0.323953
10651,1527367,700,Bi8Te9,COD,1.065,0.312393
10669,83806,700,BiBr4Te2,ICSD,1.15477,0.317954
10814,408442,700,BiGa2Se4,ICSD,1.17575,0.27818
10837,423015,700,BiIIn2Se4,ICSD,1.29039,0.265483
10847,1527697,700,BiIn2,COD,1.17737,0.324901
11004,9008603,700,BiSe,COD,1.16529,0.324734
