formula,database,id,T,rho_pred,seebeck_abs_pred,kappa_pred,zT_pred,rho_var,seebeck_abs_var,kappa_var,zT_var
In2Te4Zn,COD,5910286,700,5.9242e-05,0.000216096,1.36608,1.12949,0.00278839,1.07535e-08,10.2338,0.696528
In2Te5,COD,2106460,700,2.71283e-05,0.000197958,3.66727,1.11484,2.85902e-08,1.8188e-08,17.8138,0.0814141
In3Te4,ICSD,44655,700,3.95969e-05,0.000197597,1.80179,1.17939,0.000427602,1.70454e-08,10.4374,0.0730817
In4Se3,ICSD,425490,700,6.37684e-05,0.000205387,1.22749,1.01409,7.19429e-06,1.08677e-08,5.71282,0.263777
In4Se4Sn,ICSD,56324,700,6.30854e-05,0.000202441,1.29912,1.04707,1.68027e-05,9.06163e-09,5.81407,0.117259
In4Te3,COD,2106339,700,5.87952e-05,0.000201775,1.05767,1.19602,0.00841932,1.6217e-08,7.10507,0.0651448
In5Sb3,ICSD,640434,700,3.49655e-05,0.000168011,0.944818,1.14096,7.42363e-06,1.0982e-08,2.18252,0.094318
In5Se7Tl,ICSD,402126,700,0.000115647,0.000230173,1.35443,1.10361,0.00808899,1.11685e-08,8.9624,0.193048
In6Se7,COD,2106208,700,6.96505e-05,0.000207604,1.52598,1.03823,8.16814e-06,9.14395e-09,11.5276,0.111283
In7Te10,ICSD,400669,700,4.26283e-05,0.000192498,1.77466,1.17785,0.000553728,1.66353e-08,9.94289,0.0752256
In9Se14,COD,4304497,700,6.57416e-05,0.000205266,1.51333,1.01443,9.91962e-06,9.3085e-09,11.5242,0.234758
InSb,ICSD,44642,700,3.5743e-05,0.000175016,0.97434,1.1568,8.35541e-07,1.25252e-08,2.10618,0.081923
InSe,ICSD,32714,700,6.76171e-05,0.000207904,1.30429,1.03495,9.70877e-06,9.13966e-09,7.98891,0.110869
InSe2Tl,ICSD,640528,700,0.000135533,0.000250142,1.34371,1.1508,0.0495519,1.25967e-08,11.1602,0.191708
InTe,ICSD,44653,700,4.76047e-05,0.000202575,1.17831,1.18203,0.000431838,1.56759e-08,7.61199,0.0674652
InTe2Tl,COD,1527853,700,8.28669e-05,0.000272433,1.5504,1.19473,0.000471315,8.02427e-09,11.8475,0.0840763
Ir4La3Sn13,ICSD,640766,700,1.85248e-05,0.000159598,2.21115,1.06186,1.29757e-09,6.23243e-09,1.63547,0.260553
Ir4Nd3Sn13,ICSD,640876,700,1.82716e-05,0.00016214,2.26824,1.10322,1.05041e-09,7.55541e-09,2.44613,0.284303
Ir4Pr3Sn13,ICSD,640916,700,1.71539e-05,0.000159772,2.36734,1.10399,1.01069e-09,7.38696e-09,1.56395,0.286327
Ir4Sm3Sn13,ICSD,641050,700,1.84849e-05,0.000167621,2.20051,1.14861,1.57273e-09,8.5391e-09,2.31809,0.246647
Ir4Sn13Yb3,ICSD,641063,700,1.93489e-05,0.000176283,2.12317,1.13251,1.62944e-09,9.32114e-09,1.45549,0.984737
IrLiSn4,COD,1529009,700,0.00010732,0.000183218,1.82656,1.0959,36785.2,8.21476e-09,3.40313,0.852166
IrSn4,ICSD,412573,700,2.88702e-05,0.000216604,2.15107,1.21976,2.45718e-06,1.43906e-08,2.63366,0.0922877
K5Pb24,ICSD,410090,700,4.35733e-05,0.000165603,1.19406,1.16394,2.15502e-06,1.1492e-08,1.01215,0.634534
La3Pb13Rh4,ICSD,641650,700,4.11231e-05,0.000160592,1.59876,1.06275,0.000124175,1.07724e-08,3.02126,0.825978
Lu2NiSn6,COD,1522911,700,1.91884e-05,0.000169407,2.15345,1.08489,3.30938e-10,7.56152e-09,1.8432,0.290405
LuNiSn4,ICSD,106923,700,2.05816e-05,0.000174677,2.16897,1.10795,5.67961e-10,6.83913e-09,2.22255,0.281996
MnSnTe4Tl2,COD,4000662,700,0.000393783,0.000258603,1.34289,1.31638,6.36926e+07,7.09615e-09,5.10594,0.044668
Nb2Se11Tl4,COD,2208193,700,2.57411e-05,0.000168201,1.73101,1.20779,5.51989e-05,5.56956e-09,20.2598,0.313305
Nd4Pb19Rh6,ICSD,645699,700,3.71716e-05,0.000169661,1.82388,1.11319,6.06853e-05,1.47096e-08,5.07151,0.786339
Ni3Pb2Se2,ICSD,646211,700,0.000145647,0.000222788,2.94194,1.20102,153573,9.38996e-09,7.86791,0.146322
NiPb,ICSD,108642,700,9.44517e-05,0.000240441,4.18501,1.24863,1.87318,1.95148e-08,13.0572,0.116123
NiSb3,ICSD,190327,700,3.60967e-05,0.000239293,1.83627,1.00347,1.50325e-09,8.27405e-09,0.531825,0.108978
Pb13Pr3Rh4,ICSD,648389,700,3.73252e-05,0.000166175,1.80392,1.09204,8.58413e-05,1.26806e-08,4.22022,0.495527
Pb19Rh6Sm4,ICSD,648429,700,3.8887e-05,0.000169085,1.79527,1.15756,7.03194e-05,1.35519e-08,4.94599,0.792092
Pb3Tb,COD,1522522,700,3.41494e-05,0.000160542,1.60075,1.02985,1.2327e-08,8.51781e-09,3.26559,0.580299
Pb3Tm,COD,1522333,700,3.19064e-05,0.00015812,1.63925,1.03781,1.33729e-08,7.58197e-09,2.51367,0.585564
Pb3Y,COD,1523308,700,7.50869e-05,0.000152784,1.69093,1.09723,6.10687e-05,8.52991e-09,2.78362,0.836795
Pb3Yb,COD,1523796,700,3.30435e-05,0.00016022,1.53083,1.00217,1.1716e-08,9.14046e-09,2.26554,0.587608
PbPo,COD,1523087,700,4.0422e-05,0.000167914,2.34264,1.07342,0.000666404,1.7926e-08,16.2468,0.0783991
PbSb2Te4,ICSD,250250,700,1.77148e-05,0.000232608,2.93174,1.01638,1.87724e-07,1.73778e-08,12.118,0.741357
PbSe3Tl4,ICSD,261016,700,0.00010915,0.000243585,0.893389,1.19028,0.000905715,1.45915e-08,2.76526,0.204685
PbSe4Tl2Zr,ICSD,237508,700,3.34799e-05,0.000211724,1.57321,1.3463,2.26099e-07,1.04856e-08,9.92961,0.247438
PbTe3Tl4,ICSD,648621,700,6.36202e-05,0.000300627,0.653247,1.14165,7.46819e-09,4.73133e-09,0.45823,0.0949004
Pd3Se2Tl2,ICSD,648843,700,0.000239043,0.000227515,2.44079,1.18216,2939.26,9.25115e-09,10.9247,0.24986
PdSn2,ICSD,413281,700,7.58431e-05,0.000190565,1.40029,1.1592,0.145685,7.58542e-09,11.4101,0.143055
PdSn3,COD,9009821,700,7.48707e-05,0.000182151,1.52312,1.10403,0.0911176,1.01691e-08,9.71906,0.147869
PdSn4,COD,1522306,700,6.60408e-05,0.000173537,1.48501,1.13906,0.0679753,8.29482e-09,6.12059,0.136956
PdSnTe,ICSD,162404,700,0.000147278,0.000215416,2.99617,1.16605,2115.31,8.12288e-09,25.7576,0.136841
Pt2Sn3,COD,1522860,700,0.000107511,0.000211475,1.72658,1.24191,6.07543,6.67131e-09,8.04979,0.0921392
Pt8Sb11Sn14,COD,4343873,700,7.79992e-05,0.000213007,1.61767,1.29375,182.892,4.97758e-09,4.03639,0.0646883
PtSn,COD,9008913,700,0.000118138,0.000223684,1.53639,1.217,0.245418,9.57593e-09,12.469,0.0967048
PtSn2,COD,9012883,700,6.7424e-05,0.00021966,1.80411,1.28618,1.45181,5.70909e-09,5.71765,0.0524759
PtSn4,COD,1522862,700,4.17059e-05,0.000202613,1.586,1.2061,0.000188392,1.19039e-08,3.19734,0.0843097
Rh4Sn13Yb3,COD,1523831,700,2.90688e-05,0.000174978,1.89779,1.07692,2.74396e-07,9.40326e-09,4.70241,0.989242
RhSn2,COD,1523795,700,5.15359e-05,0.000201734,2.27821,1.19815,0.00316047,4.02103e-09,9.6145,0.123904
RhSn4,ICSD,174219,700,3.9635e-05,0.000186678,1.6509,1.12015,0.000284301,6.14554e-09,5.77957,0.143674
Sb10Zn13,COD,4113278,700,3.27324e-05,0.000192135,0.73198,1.08132,9.54563e-13,7.0491e-11,0.000502652,0.0144305
Sb2SeTe2,COD,9007591,700,1.86552e-05,0.000180228,2.9267,1.01418,0.0654597,1.49708e-08,9.3204,0.630989
Sb2SnTe4,ICSD,30392,700,7.81004e-06,0.000162501,2.6421,1.08264,7.38765e-08,2.39431e-08,8.58351,0.0898514
Sb2SnZn,ICSD,651588,700,2.9232e-05,0.00019014,1.35194,1.22301,2.6326e-07,7.95208e-09,2.59398,0.0685792
Sb2Tl7,ICSD,52288,700,5.18755e-05,0.000228045,0.846959,1.01737,1.72457e-07,1.64346e-08,1.47079,0.118544
Sb2TlZn2,ICSD,76499,700,0.000237937,0.000279651,0.81682,1.18067,100205,7.46957e-09,0.727408,0.117024
Sb2Zn,COD,9015418,700,3.01205e-05,0.000199179,1.0614,1.05351,5.69703e-10,5.2368e-09,1.23144,0.0658011
Sb4Sn3Sr,COD,4323518,700,2.14614e-05,0.000216325,1.40821,1.10342,1.10686e-09,5.03631e-09,1.46604,0.287039
Sb4Tl5,COD,5910072,700,5.84575e-05,0.000264299,0.841654,1.11064,1.83176e-07,6.18094e-09,1.11299,0.0853524
Sb5Zn6,COD,1524598,700,3.16382e-05,0.000193744,0.768355,1.06218,5.51593e-11,7.38312e-10,0.0169768,0.0244849
Sb65Zn84,ICSD,418213,700,3.27324e-05,0.00019134,0.73198,1.08132,9.54563e-13,1.05749e-10,0.000502652,0.0144305
SbSe2Tl,ICSD,36537,700,9.78996e-05,0.000234501,2.05001,1.10027,0.00482174,1.21426e-08,60.398,0.16759
SbSe3Tl3,ICSD,60962,700,0.000144822,0.00024475,1.13486,1.19349,6.81289,1.13021e-08,6.8668,0.206824
SbTe2Tl,ICSD,651642,700,7.92324e-05,0.000270421,2.72057,1.12847,0.000136435,5.21411e-09,16.1514,0.0852848
SbTl,COD,1010882,700,6.1245e-05,0.000267209,0.902918,1.129,1.9672e-07,5.75965e-09,1.40034,0.0762625
SbZn,COD,9008882,700,3.41365e-05,0.000202628,0.775668,1.0726,2.78751e-10,1.87698e-09,0.03214,0.0281671
ScTe2Tl,ICSD,418476,700,7.77105e-05,0.000234267,1.60794,1.06366,0.000972996,8.19357e-09,2.67082,0.505616
Se3SnTl2,COD,1524609,700,0.000109619,0.000245554,1.30188,1.18615,0.000854878,1.39298e-08,10.8836,0.209842
Se3SnTl4,ICSD,651938,700,0.000111697,0.000244213,0.985431,1.19889,0.000759883,1.50928e-08,4.467,0.212668
Se3Tl2,ICSD,652069,700,0.000115326,0.000246704,1.22687,1.19311,0.00114695,1.19097e-08,9.76067,0.178455
Se3Tl5,ICSD,20826,700,0.000104484,0.000253952,0.897034,1.17179,0.00088419,1.32573e-08,2.81674,0.203306
Se4SnTl3,ICSD,80804,700,0.000105654,0.000249786,1.35332,1.19928,0.0011239,1.47191e-08,9.2662,0.202473
SeTl,COD,9008952,700,0.000102828,0.000249091,1.13203,1.18222,0.000793989,1.27013e-08,7.47356,0.199555
SmTe6Tl9,ICSD,427738,700,5.16219e-05,0.000176477,0.731416,1.22914,9.89e-07,9.0928e-09,0.628513,0.166846
SnTe,ICSD,53956,700,1.99172e-05,0.000180768,2.66384,1.13186,9.00557e-06,1.82902e-08,9.41172,0.0859844
SnTe3Tl2,ICSD,69562,700,7.00108e-05,0.000280732,1.44798,1.1788,3.43856e-05,5.07408e-09,6.20917,0.0831393
SnTe3Tl4,COD,1523050,700,6.04736e-05,0.000297094,0.792538,1.20937,5.27805e-09,4.40969e-09,1.51668,0.0845096
SnTe5Tl2,ICSD,73666,700,5.58925e-05,0.00026618,4.79109,1.1672,4.77059e-08,6.75004e-09,12.8613,0.0691224
SnTl,ICSD,652804,700,8.05278e-05,0.000253724,0.95632,1.10613,2.71428e-05,2.31157e-08,1.7877,0.135934
Te3Tl2,ICSD,410895,700,4.64922e-05,0.000275076,1.41306,1.16698,4.24475e-09,6.20037e-09,9.53595,0.0844687
Te3Tl2Zr,COD,4000783,700,3.57619e-05,0.000237119,1.43043,1.19877,1.56489e-05,7.95447e-09,3.39292,0.222326
Te3Tl5,ICSD,40260,700,6.08275e-05,0.000294495,0.635605,1.15738,6.44724e-09,4.16656e-09,0.502439,0.0875717
TeTl,COD,1521988,700,6.15247e-05,0.000282881,0.919799,1.18189,4.33709e-07,4.9901e-09,2.00184,0.0764819
TeTl2,COD,2012689,700,8.1357e-05,0.000287519,0.676501,1.12909,1.239e-07,4.30317e-09,0.868773,0.108934
Ag2GeIn2Se6,ICSD,88168,1000,7.46064e-05,0.000207667,0.963112,1.16364,0.171793,4.42623e-09,4.50331,0.318544
Ag2HgSe4Sn,ICSD,95094,1000,0.000122078,0.0002209,0.868313,1.24014,24.9621,6.75942e-09,2.02649,0.410959
Ag2PSe3,COD,2105373,1000,4.61622e-05,0.000197288,0.896303,1.01209,0.000151603,6.74633e-09,1.20931,0.718013
Ag2Se,COD,9000252,1000,4.38959e-05,0.000236433,0.675047,1.25863,5.10839e-09,5.31672e-09,0.191644,0.12066
Ag3AsSe3,COD,1509845,1000,0.000103403,0.000201513,0.567485,1.08602,0.0786809,5.30147e-09,0.700695,0.709903
Ag3AuSe2,COD,1509884,1000,5.72214e-05,0.00022222,0.64725,1.19939,1.28204e-06,5.75662e-09,0.287877,0.413995
Ag3PSe4,COD,1510029,1000,9.31271e-05,0.000193745,0.773185,1.00395,0.0014274,9.02725e-09,2.86347,0.811953
Ag8GeSe6,COD,2105379,1000,8.16539e-05,0.000207029,0.518254,1.11465,6.87689e-07,1.50463e-08,0.543548,0.788654
Ag8Se6Sn,COD,1509989,1000,6.48832e-05,0.000204435,0.524151,1.10804,4.68561e-07,5.73031e-09,0.590311,0.78168
AgAsSe,ICSD,604753,1000,0.000113937,0.000213008,0.826087,1.18741,2736.67,5.77429e-09,0.600867,0.10512
AgAsSe2,COD,1509200,1000,3.23332e-05,0.000193931,1.08642,1.14377,1.13313e-06,3.73802e-09,2.51842,0.0917264
AgBiSe2,COD,9011022,1000,5.71687e-05,0.000202677,0.850356,1.31381,0.00636684,4.56201e-09,2.00132,0.150582
AgBiTe2,COD,9001316,1000,4.00708e-05,0.000220089,0.74616,1.27836,0.000230758,5.34038e-09,4.85208,0.144203
AgCdSb,COD,1509176,1000,0.000152178,0.000213665,0.50184,1.24023,2282.4,9.81608e-09,0.248859,0.163275
AgCuSe,COD,9008069,1000,9.8714e-05,0.000224593,0.81536,1.18197,0.0539472,3.94056e-09,0.094101,0.363851
AgGaP2Se6,ICSD,71970,1000,9.95423e-05,0.000216288,1.33557,1.1023,5.96614,5.37635e-09,11.1095,0.985397
AgGaSe2,COD,1509351,1000,7.45457e-05,0.000212941,0.782939,1.18308,0.0023489,7.60324e-09,3.4934,0.0947789
AgGaTe2,COD,1509354,1000,8.07344e-05,0.000217634,1.15205,1.09539,0.0177446,5.8318e-09,9.77132,0.806342
AgIn5Se8,COD,1509418,1000,8.35032e-05,0.000202196,1.23869,1.17984,0.172053,4.81317e-09,12.2112,0.107263
AgIn5Te8,ICSD,151871,1000,9.23233e-05,0.00022036,1.69624,1.27361,2.24119,6.27279e-09,14.5118,0.157298
AgInSe2,COD,1509408,1000,7.07872e-05,0.000218686,0.849769,1.1454,0.0023681,6.11516e-09,3.23863,0.291306
AgInTe2,COD,1509413,1000,0.000149908,0.000235299,1.16262,1.23029,96.9248,7.4878e-09,10.3193,0.613627
AgSe27Ti6Tl5,COD,4000527,1000,3.33935e-05,0.00018994,1.32825,1.31421,2.13951e-05,5.61376e-09,6.90962,0.263091
AgSe2Tl,COD,1509541,1000,0.000225382,0.000236308,0.783143,1.32025,18790,7.11059e-09,2.58379,0.549697
AgSeTl,COD,1509539,1000,0.000556391,0.000238209,0.631495,1.49766,1.33903e+10,5.85252e-09,1.03541,0.272226
AgTe2Tl3,COD,7209352,1000,0.000241367,0.000261965,0.754165,1.36625,1164,7.35232e-09,2.98759,0.169267
AgTeTl,COD,1509557,1000,0.000593544,0.000266557,0.617411,1.4173,2.29975e+08,5.83181e-09,2.40656,0.209838
Al2BiSe4,ICSD,408440,1000,5.58324e-05,0.000214673,2.02535,1.13,0.0486754,1.20751e-08,71.4763,0.376094
Al2HgSe4,ICSD,608163,1000,0.000249562,0.000225619,0.743718,1.13044,6.45817e+07,8.68701e-09,1.68214,0.631923
AlInSe3,ICSD,608233,1000,6.21423e-05,0.000235844,1.05187,1.13253,0.000274072,8.48194e-09,10.3211,0.3021
AlSe2Tl,COD,7221238,1000,8.08887e-05,0.000223835,1.24968,1.24288,0.0177005,1.09543e-08,12.2676,0.240124
As2CdGe,ICSD,16736,1000,3.28931e-05,0.000202517,1.35518,1.18752,3.82951e-07,6.98034e-09,4.33556,0.120663
As2CdSn,ICSD,22182,1000,2.92596e-05,0.000195349,1.36356,1.19841,6.8413e-08,7.14342e-09,4.42488,0.113243
As2EuIn2,COD,4306483,1000,2.7952e-05,0.000194706,1.08581,1.00012,8.93985e-09,1.10364e-08,1.04234,0.366931
As2Ge2Te5,ICSD,68112,1000,1.30047e-05,0.000176558,2.58955,1.05786,2.16673e-09,1.66325e-08,15.8527,0.0507744
As2Ge3Te6,ICSD,68113,1000,1.41986e-05,0.000181114,2.68539,1.05697,1.00871e-09,1.39604e-08,16.0236,0.0510106
As2Ge4Te7,ICSD,68114,1000,1.59891e-05,0.000188366,2.74787,1.05751,1.02338e-09,1.00507e-08,15.4882,0.050752
As2Ge5Te8,ICSD,63174,1000,1.60243e-05,0.000187993,2.88892,1.05674,1.02329e-09,1.00312e-08,20.1034,0.0507901
As2GeTe4,ICSD,68111,1000,1.30105e-05,0.000177495,2.6692,1.07404,1.71306e-09,1.69726e-08,16.1189,0.058966
As2SnZn,COD,2310651,1000,3.00587e-05,0.000196575,1.38741,1.19949,1.03358e-07,7.48223e-09,5.58091,0.12107
As3Sn4,COD,1010003,1000,2.03221e-05,0.000166698,1.43089,1.16374,1.24871e-09,1.56482e-08,2.66836,0.0818281
As4Cd2Ge,ICSD,42132,1000,3.78306e-05,0.000207668,1.31379,1.19285,3.2296e-07,7.70101e-09,3.12048,0.120199
As4GeTe7,ICSD,41107,1000,1.24452e-05,0.000178185,2.70998,1.07403,1.51098e-09,1.70951e-08,15.4051,0.058083
As6Cu7Se13,COD,8103673,1000,4.11338e-05,0.00020386,0.918431,1.17656,1.18017e-06,4.85242e-09,1.17393,0.10335
AsCu3Se4,ICSD,610361,1000,6.35991e-05,0.000196633,0.70856,1.10129,1.24366e-05,4.04602e-09,1.67065,0.0870332
AsCuSe,ICSD,610356,1000,8.49503e-05,0.000213116,0.984717,1.19009,0.595103,4.15177e-09,0.472518,0.133609
AsCuSe2,ICSD,42884,1000,3.9421e-05,0.000201748,0.950494,1.17164,1.115e-06,4.45665e-09,1.22664,0.10276
AsCuTe,ICSD,610367,1000,8.65369e-05,0.000215798,0.787124,1.12905,21.8911,5.54779e-09,0.742428,0.0966908
AsIn,COD,9008851,1000,3.66879e-05,0.000190886,1.02719,1.16406,1.36777e-08,8.4612e-09,1.94506,0.0844048
AsNiSe,COD,9012260,1000,0.000135332,0.000197644,3.63306,1.12588,1037.29,1.15627e-08,11.271,0.146892
AsPd5Tl,ICSD,23540,1000,0.00015113,0.000215575,4.00949,1.22892,1.6148,2.14766e-08,6.94721,0.970158
AsSb,COD,9001315,1000,1.76347e-05,0.000176349,2.50342,1.00769,1.30893e-08,3.18971e-08,14.2321,0.982172
AsSe2Tl,ICSD,412790,1000,7.30571e-05,0.00023103,2.12465,1.24637,4.35522e-05,1.14153e-08,74.7771,0.160049
AsSe3Tl3,COD,1527527,1000,0.000118271,0.000234215,1.0257,1.35204,0.0956132,1.10151e-08,6.97827,0.245806
AsSe4Tl3,ICSD,611388,1000,9.11843e-05,0.000235872,1.31876,1.32062,0.000683573,1.14325e-08,11.6809,0.217285
AsSn,COD,9008723,1000,2.15942e-05,0.000168739,1.40902,1.17128,4.08023e-09,1.65747e-08,2.51758,0.0813661
Au5Sn,COD,1510571,1000,5.42139e-05,0.000205005,1.01246,1.16121,9.02767e-07,2.69224e-08,4.7584,0.381165
Au6Pr3Sn5,ICSD,419491,1000,5.18778e-05,0.000173998,1.08908,1.00438,3.08604e-05,2.15981e-08,4.73664,0.576956
Au8Sn3Sr3,COD,4335107,1000,6.1035e-05,0.000148014,0.660416,1.11509,3.04146e-06,2.1961e-08,2.401,0.904986
AuCdSb,COD,1510079,1000,0.00013464,0.000237908,0.510224,1.30562,2483.19,9.51151e-09,0.247644,0.194038
AuCu3Sn,ICSD,611766,1000,0.000131344,0.000217648,0.770159,1.31247,136.329,3.98064e-08,1.5451,0.247191
AuCuSn,ICSD,611768,1000,0.00041594,0.000234736,0.773616,1.44287,9.18061e+08,5.98563e-09,1.49446,0.258414
AuNi2Sn4,ICSD,150127,1000,6.53286e-05,0.000199883,1.99348,1.37319,0.0182809,7.73104e-09,2.52738,0.163624
AuPSe3Tl,COD,4000517,1000,0.000144213,0.000191438,0.919015,1.36172,26241.4,9.71093e-09,3.19853,0.87348
AuSb2,COD,9016730,1000,5.89324e-05,0.0002431,1.39223,1.12046,0.0165974,1.27268e-08,7.43263,0.8376
AuSb3,COD,1510290,1000,5.42048e-05,0.000238493,1.60164,1.09912,0.000243614,1.37129e-08,3.07472,0.83774
AuSbTl,ICSD,391381,1000,0.000212638,0.000235741,0.895281,1.35934,956090,9.10682e-09,2.46026,0.226364
AuSe3Tl4,ICSD,612311,1000,9.83038e-05,0.000226543,0.901891,1.4174,0.109422,5.56538e-09,2.01414,0.262431
AuSn,COD,1510301,1000,0.000112099,0.000223833,0.862316,1.31932,0.0121954,8.92251e-09,7.02905,0.162293
AuSn2,COD,1510306,1000,6.46648e-05,0.000228991,1.54462,1.35277,0.118643,7.15366e-09,6.50676,0.149482
AuSn4,COD,1510307,1000,4.34635e-05,0.000218304,1.46272,1.2387,0.000107879,1.60914e-08,3.74761,0.172999
Ba2BiGaTe5,ICSD,425159,1000,5.83671e-05,0.00019514,0.731406,1.05968,3.30975e-05,9.29099e-09,0.737885,0.366216
Ba3Bi6PbSe13,ICSD,89912,1000,5.73556e-05,0.000183092,1.00303,1.12505,5.13275e-05,1.38598e-08,1.25287,0.844139
BaBiSe3,COD,7221180,1000,8.97641e-05,0.000157262,1.01347,1.01766,0.00145618,1.16371e-08,1.1035,0.762916
BaCd4Pt2,COD,4334058,1000,2.81529e-05,0.000129664,0.739765,1.02922,7.57724e-08,1.76415e-08,1.45755,0.706839
BaCo2Sn8,ICSD,425335,1000,2.43232e-05,0.00016439,1.61913,1.07055,5.14395e-10,6.7015e-09,0.954967,0.316796
BaGa4Se7,COD,4316718,1000,6.60129e-05,0.000149541,0.996476,1.16072,0.000603472,9.98391e-09,3.0584,0.56713
BaIn2Te4,ICSD,41168,1000,3.45109e-05,0.00016997,1.03263,1.23842,2.17002e-06,9.40656e-09,1.57078,0.396277
BaPb6Rh3,ICSD,58669,1000,3.24108e-05,0.000150893,1.57986,1.34105,1.04217e-07,1.30927e-08,3.31205,0.6045
Bi23V4,ICSD,77842,1000,0.000103849,0.000219602,1.24146,1.22689,3.86975,2.05659e-08,1.83529,0.19078
Bi2EuSe4,ICSD,600805,1000,7.09906e-05,0.000148658,1.54429,1.1122,0.00348887,1.51833e-08,4.92765,0.331113
Bi2MnSe4,ICSD,603311,1000,5.07402e-05,0.000223475,1.39381,1.28847,2.27346e-05,1.05879e-08,6.12239,0.15101
Bi2Pb2Te5,ICSD,42708,1000,1.63139e-05,0.00024426,2.03034,1.11775,3.29084e-09,1.26327e-08,6.41084,0.738883
Bi2PbTe4,ICSD,616936,1000,1.59949e-05,0.000238908,2.00155,1.12154,3.01022e-09,1.40975e-08,6.09203,0.756789
Bi2Pd,COD,9012857,1000,6.6655e-05,0.000240349,0.745863,1.2216,0.000594641,1.12204e-08,5.3192,0.957814
Bi2Pt,ICSD,58846,1000,5.27362e-05,0.000205104,1.49208,1.19575,3.41004e-06,7.8565e-09,10.5102,0.914226
Bi2Tl,ICSD,58864,1000,6.74081e-05,0.000175531,1.26325,1.19294,1.88885e-05,1.66401e-08,3.40347,0.333109
Bi3Co,ICSD,236383,1000,7.96882e-05,0.000268456,1.28134,1.09252,0.000698449,1.47261e-08,1.66454,0.485901
Bi3In4Pb,ICSD,616725,1000,8.86426e-05,0.00026975,0.835085,1.30765,7.48188e-05,1.13032e-08,1.19393,0.15747
Bi3In5,COD,1527696,1000,0.000114725,0.000260552,0.919564,1.28073,0.00663322,1.29143e-08,1.94794,0.142394
Bi4CsTe6,COD,4112588,1000,2.49962e-05,0.000171348,1.22098,1.30625,4.55642e-09,9.81103e-09,0.246673,0.196061
Bi4Eu3Se9,ICSD,600866,1000,5.86111e-05,0.000159322,1.5306,1.09109,4.49633e-05,1.34228e-08,4.41471,0.336436
Bi4PbTe7,ICSD,42707,1000,1.37261e-05,0.000236742,2.02338,1.12018,1.54833e-09,1.41898e-08,6.20874,0.749544
Bi4SnTe7,ICSD,236253,1000,1.58173e-05,0.000235569,2.13287,1.21373,2.10095e-09,1.40374e-08,5.40004,0.127714
Bi6PbTe10,COD,1531626,1000,1.37261e-05,0.000235598,1.97971,1.12018,1.54833e-09,1.39476e-08,5.64311,0.749544
Bi6Se13Sr4,COD,1518086,1000,5.68241e-05,0.000175382,0.992203,1.10453,3.80456e-05,1.24345e-08,1.2744,0.334813
BiEuSe3,COD,4341155,1000,5.35689e-05,0.000143645,1.57575,1.09217,3.79308e-05,1.58788e-08,6.02141,0.33458
BiGa2Se4,ICSD,408442,1000,0.000116625,0.000234946,2.43795,1.17444,0.037843,1.11229e-08,61.8055,0.096218
BiIn,COD,1527695,1000,0.00012987,0.000264231,0.988205,1.31205,0.00879482,1.16819e-08,2.07738,0.128298
BiIn2,COD,1527697,1000,9.25637e-05,0.000265162,0.92787,1.26912,5.3269e-05,1.29861e-08,2.19136,0.13589
BiNiSe,ICSD,616878,1000,5.54387e-05,0.000226668,2.52681,1.30662,0.00660002,1.1711e-08,6.25544,0.172311
BiPb3Pt,ICSD,58834,1000,5.13562e-05,0.000186642,1.70984,1.25843,2.85795e-05,7.79985e-09,7.31042,0.963934
BiPt,COD,9008911,1000,9.69455e-05,0.000230599,1.07472,1.12968,5.67406e-06,3.15507e-08,20.9249,0.871757
BiPtTe,ICSD,42549,1000,4.65316e-05,0.000221909,1.29955,1.21898,0.000152212,5.29718e-09,9.869,0.987126
BiSe2Tl,ICSD,617113,1000,0.000121987,0.000237194,1.97522,1.29379,0.0513674,1.19647e-08,45.3666,0.198643
BiSe3Sr,ICSD,61153,1000,0.000106245,0.000158959,1.02984,1.0609,0.0637186,1.1278e-08,1.16007,0.28591
BiTe2Tl,COD,2310403,1000,4.4352e-05,0.000271733,1.79291,1.18337,7.48975e-08,6.70035e-09,9.09364,0.147257
BiTl,ICSD,53967,1000,7.7672e-05,0.00018153,0.801906,1.18332,1.5666e-05,1.76133e-08,1.37173,0.337087
BiZn,COD,7221256,1000,5.5299e-05,0.000280361,0.653142,1.33194,1.2326e-05,1.29406e-08,0.185806,0.173562
CaGa2Se4,ICSD,24387,1000,5.27436e-05,0.000200452,0.876455,1.21683,2.1824e-06,6.28089e-09,2.19387,0.275128
Cd13In26Se54,ICSD,43035,1000,0.000124458,0.000205043,1.01978,1.1477,0.545363,9.34362e-09,2.92501,0.125094
Cd13Sb10,COD,4108676,1000,4.49124e-05,0.000179934,0.598885,1.25768,1.6226e-07,7.42735e-09,0.127799,0.130377
Cd2EuSb2,ICSD,78988,1000,2.78654e-05,0.000194827,0.789367,1.13978,4.81025e-08,1.22505e-08,0.628297,0.402574
Cd2Sb2Yb,ICSD,419690,1000,2.96949e-05,0.00020469,0.659783,1.27827,1.53954e-09,9.64263e-09,0.102756,0.34622
Cd3Sb3Tl2,ICSD,76500,1000,0.000185337,0.000252396,1.04311,1.37535,2779.59,5.99499e-09,3.59999,0.212356
Cd45Er11,ICSD,619814,1000,3.2185e-05,0.000136113,0.837943,1.02255,9.94022e-09,9.18448e-09,1.30111,0.962879
