index,id,T,formula,database,zT_pred,zT_std
72046,83906,1000,HfLa3Sb5,ICSD,0.541195,0.285109
72369,4000660,700,HgSnTe4Tl2,COD,1.29192,0.262494
73031,370002,1000,In11K8,ICSD,0.537612,0.292477
73036,370033,1000,In11Rb8,ICSD,0.54599,0.292839
73067,9015376,1000,In2K2Sb3,COD,0.578327,0.26677
73070,51951,1000,In2La,ICSD,0.524545,0.270143
73083,109097,1000,In2Mg5,ICSD,0.522662,0.297672
73094,300192,1000,In2Na2Sb3,ICSD,0.600249,0.254332
73105,411077,1000,In2NiPr,ICSD,0.525194,0.299362
73108,413459,1000,In2NiY,ICSD,0.512657,0.243534
73130,4302601,700,In2Pb4Sb4Se13,COD,1.20682,0.283461
73140,2005745,1000,In2Rb2Sb3,COD,0.586224,0.276227
73153,36468,1000,In2Sb6Sr5,ICSD,0.533772,0.269448
73155,4302480,700,In2Sb6Zn9,COD,1.13597,0.220528
73156,1376,700,In2Se3,ICSD,1.10763,0.296474
73160,414235,1000,In2Sr,ICSD,0.536308,0.279013
73177,4339489,1000,In3MgSr,COD,0.503163,0.27017
73190,370026,1000,In3Rb2,ICSD,0.552926,0.291977
73215,7221337,1000,In41K17,COD,0.550568,0.292043
73263,165362,1000,In5La3,ICSD,0.507718,0.270594
73293,165364,1000,In5Y3,ICSD,0.507658,0.269783
73303,165188,1000,In7K2Sr,ICSD,0.584618,0.266292
73324,165180,1000,In9KNa3,ICSD,0.553045,0.299461
73328,4309584,1000,In9Li2Y5,COD,0.560078,0.243658
73972,411279,1000,K2LiSn4,ICSD,0.551478,0.299473
74685,80945,1000,KSb2,ICSD,0.608567,0.294035
74860,423418,1000,La3Sn4,ICSD,0.546651,0.255148
74861,165185,1000,La3Sn5,ICSD,0.545553,0.267377
74862,261872,1000,La3Sn7,ICSD,0.61295,0.275742
75152,601624,1000,LaSbTe,ICSD,0.532186,0.282277
75163,657383,1000,LaSn2,ICSD,0.539345,0.267456
75167,1521989,1000,LaTe2,COD,0.688753,0.236288
75314,2019431,1000,Li2Sm5Sn7,COD,0.671227,0.29831
75620,411278,1000,LiRb2Sn4,ICSD,0.547648,0.298944
76583,643758,1000,MnSn2Y,ICSD,0.502508,0.229117
76585,4000662,700,MnSnTe4Tl2,COD,1.30545,0.293759
77315,8103057,1000,Na2Sn4Sr,COD,0.589788,0.257447
77898,412926,1000,Nd2Sn3,ICSD,0.625794,0.293498
78090,54292,1000,NdSn2,ICSD,0.628112,0.295611
78093,9008692,1000,NdTe,COD,0.513093,0.295548
78568,186293,1000,NiSn2Y,ICSD,0.502453,0.234105
80184,77882,700,PbTe,ICSD,1.05425,0.260668
80457,649398,1000,Pr3Sn5,ICSD,0.59069,0.295121
80529,657389,1000,PrSn2,ICSD,0.600876,0.295969
80532,77936,1000,PrTe,ICSD,0.507956,0.294736
80815,300212,1000,Rb4Sb6Sn,ICSD,0.576816,0.27137
80836,419402,1000,RbSb2,ICSD,0.604143,0.293505
81333,4113278,700,Sb10Zn13,COD,1.08794,0.135584
81333,4113278,1000,Sb10Zn13,COD,1.15666,0.230975
81344,651588,700,Sb2SnZn,ICSD,1.15817,0.294388
81355,76499,700,Sb2TlZn2,ICSD,1.28774,0.295322
81360,651733,1000,Sb2Y,ICSD,0.601411,0.289248
81363,9015418,700,Sb2Zn,COD,1.0726,0.243958
81363,9015418,1000,Sb2Zn,COD,1.14133,0.272365
81397,1524598,700,Sb5Zn6,COD,1.0765,0.163885
81397,1524598,1000,Sb5Zn6,COD,1.14598,0.236782
81398,418213,700,Sb65Zn84,ICSD,1.08794,0.135584
81398,418213,1000,Sb65Zn84,ICSD,1.15666,0.230975
81403,36537,700,SbSe2Tl,ICSD,1.1872,0.285073
81417,651642,700,SbTe2Tl,ICSD,1.17221,0.266556
81434,9008882,700,SbZn,COD,1.08753,0.178339
81434,9008882,1000,SbZn,COD,1.15543,0.263088
81456,106965,1000,ScSn2,ICSD,0.508491,0.269348
81693,416771,1000,Sn2Y,ICSD,0.577001,0.263989
81708,1527516,1000,Sn3Y5,COD,0.504704,0.278718
81719,165183,1000,Sn5Sr3,ICSD,0.559687,0.267618
81730,69562,700,SnTe3Tl2,ICSD,1.24483,0.288915
81732,73666,700,SnTe5Tl2,ICSD,1.16637,0.267516
81804,653179,1000,Te2Y,ICSD,0.625826,0.282285
81805,160182,1000,Te2Y7,ICSD,0.511199,0.286243
81808,410895,700,Te3Tl2,ICSD,1.21526,0.265368
81814,653174,1000,Te3Y2,ICSD,0.568685,0.281914
81839,80076,700,TeZn,ICSD,1.02001,0.289479
