orig_index,T,formula,database,id,rho_pred,seebeck_pred,kappa_pred,zT_pred,rho_var,seebeck_var,kappa_var,zT_var,rho_std,seebeck_std,kappa_std,zT_std,rough_correlation
1284,700,Al2Ca3Ge3,ICSD,31982,1.0011,1.00025,6.60484,1.19759,5.41259e-06,2.85395e-08,9587.16,0.0570893,0.0023265,0.000168936,97.9141,0.238934,115.076
146577,1000,DyO6ReSr2,ICSD,25402,1.0002,0.99989,11.2625,1.1578,6.37898e-07,4.7674e-09,1077.87,0.0115604,0.000798685,6.90464e-05,32.831,0.107519,115.085
76874,700,MoO4Sr2,ICSD,152123,1.01052,1.0002,54.5619,1.06543,0.000685158,1.16194e-07,1.2566e+13,0.00521099,0.0261755,0.000340872,3.54485e+06,0.0721872,115.091
76823,700,MoN,ICSD,60168,2.61975e+38,1.00021,36.8676,1.12053,inf,7.91153e-08,1.81737e+06,0.0154258,inf,0.000281274,1348.1,0.124201,115.11
69483,700,Ge2K2O7Pb2,ICSD,30247,1.00076,1.00009,10.6297,1.18811,2.58191e-05,2.30406e-08,548.299,0.0587329,0.00508125,0.000151791,23.4158,0.242349,115.124
78992,700,O3PTl,ICSD,2139,18.1781,0.99989,56.849,1.176,inf,9.64804e-09,2.79224e+10,0.0470823,inf,9.82244e-05,167100,0.216984,115.132
80396,700,PdTi,COD,1523469,1.00481,1.00013,150.148,1.21461,0.000522996,5.25756e-08,3.62704e+10,0.0331289,0.0228691,0.000229294,190448,0.182014,115.174
141588,1000,Co16Nb6Si7,ICSD,53047,1.00331,1.00006,125.496,1.21251,0.000230019,3.58382e-08,9.07046e+07,0.0384459,0.0151664,0.00018931,9523.9,0.196076,115.178
77138,700,NO3Tl,COD,2010258,1.00069,0.999815,58.8209,1.17503,3.37562e-06,2.1317e-08,7.21099e+10,0.0476716,0.00183729,0.000146003,268533,0.218338,115.218
77715,700,Nb4Ni4Si7,ICSD,645114,1.00023,1.00001,46.1653,1.17574,1.07221e-06,3.54497e-08,774095,0.0569686,0.00103547,0.000188281,879.827,0.238681,115.24
83470,1000,Al2O9Tb4,ICSD,164882,1.00068,0.999894,12.9008,1.1716,9.71718e-06,1.49494e-08,2640.29,0.046953,0.00311724,0.000122268,51.3838,0.216686,115.316
1512,700,Al2Na2Sb3,COD,1518052,1.00022,1.00006,4.5008,1.3496,1.0301e-06,3.85475e-08,61.8463,0.0598941,0.00101494,0.000196335,7.86424,0.244733,115.328
8575,700,Ba3N2O12Si6,ICSD,421322,1.00082,0.999813,19.0626,1.16016,3.25166e-06,2.43445e-08,32586.4,0.0482955,0.00180324,0.000156027,180.517,0.219762,115.368
80333,700,PdS6Ta2,ICSD,655261,4.26402,0.999984,12.3668,1.19043,1.1317e+182,1.51959e-08,2143.35,0.0457542,1.06381e+91,0.000123272,46.2964,0.213902,115.405
81590,700,Si3Tc5,ICSD,652383,1.00177,1,52.3414,1.22632,0.000117567,4.24249e-08,1.51043e+06,0.0611813,0.0108428,0.000205973,1229,0.247349,115.418
11624,700,BrCrS,ICSD,69659,1.00022,0.999947,9.57704,1.20779,1.04926e-06,2.12056e-08,22690.7,0.0422342,0.00102434,0.000145621,150.634,0.20551,115.45
81120,700,RuSbTi,ICSD,107127,1.00021,1.00005,58.9344,1.23278,1.02119e-06,3.80234e-08,1.40473e+09,0.0361597,0.00101054,0.000194996,37479.7,0.190157,115.464
84886,1000,AlSiY,COD,1533018,1.00524,0.999989,28.4025,1.2653,0.000337334,3.39953e-08,37665.7,0.0489576,0.0183667,0.000184378,194.077,0.221264,115.484
4471,700,AsNbSi,COD,1527598,1.00022,1.00006,27.9431,1.24375,1.031e-06,3.40296e-08,2.64403e+06,0.0471323,0.00101538,0.000184471,1626.05,0.2171,115.51
158840,1000,MoSi2,COD,1010282,1.00023,1.00005,53.9268,1.22882,1.07373e-06,3.37323e-08,130284,0.0582293,0.00103621,0.000183663,360.949,0.241307,115.547
78552,700,NiSi3Y,COD,1533266,1.00022,0.999974,25.9281,1.15795,1.05398e-06,5.16768e-08,6360.39,0.0449183,0.00102664,0.000227325,79.752,0.211939,115.572
75782,700,LuO3V,ICSD,185830,1.0095,0.999887,30.7179,1.12409,0.000638697,2.95555e-08,590806,0.00733322,0.0252724,0.000171917,768.639,0.0856342,115.574
70336,700,GeNiSc,ICSD,86365,1.0006,0.999913,50.3279,1.29991,3.23473e-06,3.05047e-08,2.76081e+08,0.0454699,0.00179853,0.000174656,16615.7,0.213237,115.576
450,700,Ag9Ge2IO8,ICSD,380303,1.00022,0.999952,3.5713,1.16982,1.03947e-06,3.98989e-08,25.127,0.0335713,0.00101954,0.000199747,5.01268,0.183225,115.576
3455,700,As2Mg2Sr,ICSD,610831,1.00024,1.00024,38.4974,1.2045,1.08698e-06,1.59268e-08,2.30222e+15,0.056391,0.00104259,0.000126201,4.79814e+07,0.237468,115.578
74496,700,KNa2Sb,ICSD,44332,1.00128,1.00018,9.78391,1.33982,6.76118e-06,3.48125e-08,1771.2,0.0617661,0.00260023,0.000186581,42.0856,0.248528,115.626
54760,700,CGeV2,ICSD,42919,1.00176,0.999979,25.2452,1.16398,0.000117536,3.8572e-08,72130.6,0.0279637,0.0108414,0.000196398,268.571,0.167224,115.672
78804,700,O14PW4,COD,1001336,18.1805,0.999885,41.5363,1.13771,inf,1.78519e-08,1.78089e+06,0.0606946,inf,0.000133611,1334.5,0.246363,115.679
59184,700,Cl9NW2,ICSD,416867,2.5905e+38,0.999934,78.4183,1.20289,inf,2.91398e-08,5.75946e+10,0.0562964,inf,0.000170704,239989,0.237269,115.768
66993,700,Fe13Ge3,ICSD,150584,1.00176,0.99989,73.4241,1.23179,0.000117536,3.11373e-08,4.15615e+09,0.0622207,0.0108414,0.000176458,64468.2,0.249441,115.821
76910,700,MoP,ICSD,186874,18.4247,1.00054,38.4982,1.16378,inf,4.3906e-08,1.92329e+06,0.0343823,inf,0.000209538,1386.83,0.185425,115.824
78969,700,O31P2W9,ICSD,280373,18.1805,0.999885,41.6129,1.13723,inf,1.78344e-08,1.80178e+06,0.0607365,inf,0.000133546,1342.3,0.246448,115.848
4270,700,AsFeTi,ICSD,610530,1.00022,0.999938,100.372,1.24399,1.031e-06,3.052e-08,2.16658e+08,0.0371427,0.00101538,0.0001747,14719.3,0.192724,115.854
59941,700,Co2Si3,ICSD,625021,1.00022,0.999847,52.3802,1.10632,1.05398e-06,1.20234e-08,633340,0.0355322,0.00102664,0.000109651,795.827,0.1885,115.864
54311,700,CAlMn3,ICSD,606226,1.00472,0.999915,81.9155,1.16038,0.000247185,5.57272e-08,4.14477e+08,0.0375562,0.0157221,0.000236066,20358.7,0.193794,115.869
6118,700,B2Tc,ICSD,615553,1.15766,0.999952,119.357,1.13984,0.359477,4.94974e-08,1.5332e+09,0.0405078,0.599564,0.00022248,39156.1,0.201266,115.885
4259,700,AsFeNb,ICSD,610502,1.00022,0.999989,313.21,1.21661,1.031e-06,3.58458e-08,7.39293e+12,0.0418465,0.00101538,0.00018933,2.71899e+06,0.204564,115.89
3597,700,As3Ca3Ga,ICSD,60126,1.00112,0.999925,10.8865,1.27206,5.42078e-06,2.74532e-08,9.17301e+06,0.0459259,0.00232826,0.00016569,3028.7,0.214303,115.9
67621,700,FeGeLi2S4,ICSD,425762,1.00025,1.00001,10.4896,1.24467,1.11661e-06,4.73633e-08,467.264,0.0486352,0.0010567,0.000217631,21.6163,0.220534,115.955
63707,700,CuGeHo3S7,ICSD,159888,1.00021,0.999973,6.11713,1.14666,1.02119e-06,1.76996e-08,54.168,0.0206243,0.00101054,0.00013304,7.35989,0.143611,115.963
5991,700,B2Mo5Si,COD,1510768,1.00335,1.00011,54.4615,1.20886,0.000229886,5.49713e-08,3.17213e+06,0.0575677,0.015162,0.00023446,1781.05,0.239933,115.98
79320,700,O6ReSr2Yb,ICSD,25407,1.0002,0.999914,13.3906,1.07875,6.28931e-07,3.95032e-09,4643.41,0.00469951,0.000793052,6.28516e-05,68.1426,0.068553,115.988
71851,700,HMnO5PbV,COD,2200589,1.00054,0.999857,45.8415,1.08683,1.9671e-06,3.83384e-08,2.60104e+08,0.0130233,0.00140253,0.000195802,16127.7,0.11412,115.995
56966,700,CdO3Tc,ICSD,180009,1.00885,0.999837,86.233,1.11327,0.000590605,2.17429e-08,1.2086e+07,0.0439422,0.0243024,0.000147455,3476.49,0.209624,116
143543,1000,CrS,COD,9008888,1.00473,1.00004,25.1914,1.2471,0.000475901,7.58436e-08,207305,0.0589909,0.0218152,0.000275397,455.308,0.24288,116.008
157246,1000,Li3Nd3O12W2,ICSD,245640,1.00475,0.999965,19.5573,1.15081,0.000293197,1.98099e-08,19533.5,0.0273665,0.017123,0.000140748,139.762,0.165428,116.048
60599,700,CoGeZr,ICSD,623685,1.00022,0.999898,71.174,1.26103,1.031e-06,3.01708e-08,1.8518e+10,0.0452434,0.00101538,0.000173697,136081,0.212705,116.053
2950,700,AlRh,ICSD,609214,1.00326,1.0002,215.91,1.12123,0.000377593,9.1913e-08,5.91875e+09,0.0192334,0.0194317,0.000303172,76933.4,0.138685,116.068
61618,700,CrPTi,COD,1531105,18.272,0.999885,30.2743,1.32718,inf,3.67403e-08,720403,0.0576319,inf,0.000191678,848.766,0.240067,116.079
54499,700,CCl16W6,ICSD,413027,2.5905e+38,0.99995,27.1192,1.15431,inf,1.13574e-08,1.71056e+06,0.0219133,inf,0.000106571,1307.88,0.148031,116.082
3655,700,As3GeNa5,COD,9016496,1.00112,1.00016,9.20965,1.3128,5.42078e-06,5.16176e-08,50569.9,0.0420399,0.00232826,0.000227195,224.878,0.205036,116.088
68447,700,Ga5Lu3O12,ICSD,23850,1.00341,0.999851,39.618,1.12652,0.0002306,1.98837e-08,2.92369e+06,0.0114803,0.0151855,0.000141009,1709.88,0.107146,116.092
79043,700,O3Sc2,COD,1008928,1.01054,0.999696,64.4862,1.17271,0.000566999,1.67882e-08,1.14728e+06,0.0551751,0.0238117,0.000129569,1071.11,0.234894,116.099
76431,700,MnNiO6Y2,ICSD,160728,1.01031,0.999971,48.1351,1.12667,0.000684814,3.86057e-08,1.47792e+06,0.0159426,0.026169,0.000196483,1215.7,0.126264,116.109
68025,700,FeTe2Zr6,COD,4323975,1.00021,1.00004,23.2379,1.28846,1.02119e-06,4.19743e-08,484849,0.0583997,0.00101054,0.000204876,696.311,0.24166,116.118
