,id,T,formula,database,zT_pred,zT_std
95,413300,1000,Ag2HgI2S,ICSD,1.9245065,0.16186137
96,1528273,1000,Bi6Br7,COD,1.9240708,0.17472702
97,33893,1000,Cs2Pt3Se4,ICSD,1.9240361,0.18989247
98,4002338,1000,Bi8Cs2Se13,COD,1.9233556,0.19590238
99,85412,1000,BiK2RbSe3,ICSD,1.9221212,0.19212873
100,616577,1000,BiCu,ICSD,1.9213175,0.16445406
101,1510206,1000,AuKSe2,COD,1.9206963,0.20762435
102,1510457,1000,Au2Pb,COD,1.9198493000000003,0.15739572
103,1010622,1000,BiI3,COD,1.9193459,0.19813108
104,9004221,1000,HgPd,COD,1.9178092,0.17717388
105,42708,1000,Bi2Pb2Te5,ICSD,1.9175524,0.15720941
106,1510186,1000,AuI4K,COD,1.917093,0.16862425
107,153858,700,Bi2ITe,ICSD,1.9164793,0.20514023
108,416287,1000,AuBi8Br9Sb,ICSD,1.9152287,0.1742264
109,4312037,1000,CsTe3TmZn,COD,1.9138225,0.14782426
110,9008911,1000,BiPt,COD,1.913591,0.19786179
111,1529984,1000,HgI4K2,COD,1.9134718,0.18334311
112,53967,1000,BiTl,ICSD,1.9121784,0.18432054
113,58864,1000,Bi2Tl,ICSD,1.9119906,0.18386804
114,1531626,1000,Bi6PbTe10,COD,1.9077845,0.16730228
115,1510509,1000,Au3RbSe2,COD,1.9077201,0.14820677
116,616936,1000,Bi2PbTe4,ICSD,1.9072886,0.1955304
117,85581,1000,AuCdCsS2,ICSD,1.9071542,0.213356
118,262687,1000,ClCs6Dy21Te34,ICSD,1.9068787,0.16801363
119,404695,1000,K6MgNa14Tl18,ICSD,1.9060408,0.19170305
120,408685,1000,Au2Cs2S4Sn,ICSD,1.9045774,0.20081677
121,601653,1000,Cu2Te2Tl,ICSD,1.9045632,0.15300421
122,9008555,1000,Tl,COD,1.9041793,0.22959831
123,656155,1000,Cu2GeHgTe4,ICSD,1.9039052,0.1630956
124,2310403,1000,BiTe2Tl,COD,1.9036345,0.1411471
125,410814,1000,As4Hg7I6Sn,ICSD,1.9028908,0.1657546
126,4312036,1000,CsErTe3Zn,COD,1.9028887,0.20752542
127,415130,1000,Bi4Br4Ga,ICSD,1.9024907,0.15518963
128,422827,1000,BiCu4ISe4,ICSD,1.9017875,0.14090706
129,648621,1000,PbTe3Tl4,ICSD,1.9008114,0.15324333
130,649563,1000,PtSbSe,ICSD,1.9006261,0.14804920000000002
131,190969,1000,Hg3Pd8Se9,ICSD,1.8993187,0.14938256
132,2206091,1000,AuBr3Cs,COD,1.8976281000000004,0.17349583
133,42891,1000,Bi4GeTe7,ICSD,1.8972931,0.14265260000000002
134,611768,1000,AuCuSn,ICSD,1.8969002,0.14973632
135,656158,1000,Cu2HgSnTe4,ICSD,1.8967558,0.1371568
136,1509890,1000,Ag3AuTe2,COD,1.8958966,0.13994074
137,4304501,1000,Au4KSn6,COD,1.8953465,0.17392546
138,69440,1000,CsPt2Se3,ICSD,1.8948905,0.18325435
139,89018,1000,HgRbSbSe3,ICSD,1.8942505,0.1764434
140,58846,1000,Bi2Pt,ICSD,1.8938054,0.18693268
141,28312,1000,Br3CsPb,ICSD,1.8932468,0.19352609
142,83477,1000,HgPRb2Se5,ICSD,1.8929485,0.15962665
143,4312035,1000,CsHoTe3Zn,COD,1.8928244,0.17645602
144,8100034,1000,Br5PdTl3,COD,1.8916707,0.19474828
145,42707,1000,Bi4PbTe7,ICSD,1.8901285,0.14441064
146,1523008,1000,BiITe,COD,1.8899553,0.17326777
147,1001415,1000,As2Hg4I3,COD,1.8878198,0.16135333
148,409062,1000,I2PdTe,ICSD,1.8874719,0.17247010000000002
149,76649,1000,BiBrSe,ICSD,1.8872969,0.18908086
150,411096,1000,Bi3BrSe4,ICSD,1.8869585,0.17235002
151,1510489,1000,Au3CsS2,COD,1.8853647,0.21851051
152,49658,1000,GeTe3Tl3,ICSD,1.8849143,0.17617668
153,78786,1000,Pd2Se3Tl,ICSD,1.8844767,0.19846776
154,7209352,1000,AgTe2Tl3,COD,1.8843253,0.15644398
155,1510272,1000,AuPb2,COD,1.8833823,0.19932434
156,4002165,1000,Cs2Hg3S4,COD,1.8819091,0.19543335
157,30394,1000,Bi2GeTe4,ICSD,1.8776002,0.16102175
158,1509884,1000,Ag3AuSe2,COD,1.8766993000000003,0.16463758
159,1010882,1000,SbTl,COD,1.8765225,0.16343929999999998
160,1510296,1000,AuSe,COD,1.8761784,0.2074547
161,9001316,1000,AgBiTe2,COD,1.8740015,0.16423663
162,413682,1000,CsCu3Se5Yb2,ICSD,1.8734534,0.1813338
163,26266,1000,Cs2Pt3S4,ICSD,1.872836,0.19145907
164,165349,1000,P2PbRb4Se8,ICSD,1.8719449,0.18731666
165,30372,1000,Bi2Pb2Se5,ICSD,1.8717761,0.16451657
166,78785,1000,Pt2Se3Tl,ICSD,1.8716048,0.14843222
167,617014,1000,BiRhSe,ICSD,1.8713946,0.14487867
168,203188,1000,Br8Hg2PdRb2,ICSD,1.8708926,0.19462714
169,91299,1000,Bi5Cs3Cu2S10,ICSD,1.8707002,0.1846026
170,1528272,700,BiBr,COD,1.8704715,0.20507193
171,9009816,1000,BrHg3ITe2,COD,1.8694541,0.1449878
172,83633,1000,Hg3Rb2Te4,ICSD,1.8693925,0.19723128
173,417510,1000,CoCsSe3Yb,ICSD,1.8693608,0.18400675
