id,formula,database,T,zT_pred
2206489,C9H14ClNO2,COD,1000,0.457616
74858,Cl5Rb2U,ICSD,700,0.45761153
2006814,C8H19N3O4S2,COD,1000,0.4576112
201603,ClF5K2Te,ICSD,1000,0.4576104
608444,Al18Mg3Ta2,ICSD,700,0.4576086
2205977,C8H9ClO3,COD,1000,0.45760608
249457,C3H18CmF9O18S3,ICSD,1000,0.45759928
4320426,C13H31N3S,COD,1000,0.45758516
162724,FeLaOP,ICSD,700,0.45756727
2016715,C19H28N4O4,COD,1000,0.45755917
7205828,C72H37Eu9N12O44,COD,700,0.45755708
2223889,C22H26CuErN5O14,COD,700,0.45754603
2221785,C23H27ClCuN4O6,COD,700,0.45753208
25809,Ho2O2Se,ICSD,1000,0.45752946
2100797,AsO5RbTi,COD,1000,0.45751226
611953,AuH3Ti3,ICSD,700,0.4575064
2101644,C4H4FeO6,COD,1000,0.45750228
2202676,CuH6N4O5,COD,700,0.45747337
424122,AsNb2,ICSD,700,0.45746854
2202722,Cl4CrH22N6NaO2,COD,1000,0.45746478
1000506,C12H48Al7F29N8O2,COD,700,0.45746472
411053,Cl12Re2S,ICSD,1000,0.4574612
8101714,C7H10ClN,COD,1000,0.45745704
4304066,C7H12N6O,COD,700,0.4574558
2016795,C15H17N7O7,COD,1000,0.45744094
2209818,C13H22ClFeNO2,COD,1000,0.45743242
2216945,C10H8Cl2N2SZn,COD,700,0.45742732
7103656,C12H12N,COD,1000,0.45742068
636281,Gd2RhSi3,ICSD,700,0.45740435
419836,AsH12MgO10Tl,ICSD,700,0.45740348
2009894,C54H54FeN4O10P2,COD,1000,0.45738548
2222779,C6H7N4S,COD,1000,0.4573813
2017892,C10H22N6O7,COD,1000,0.4573731
2221622,C11H13Cl2MnN5,COD,1000,0.45734566
97558,CuKNd2S4,ICSD,700,0.4573451
9008642,AsHo,COD,700,0.45733672
414261,AlBiCl6,ICSD,700,0.45733476
9003874,AlH3O3,COD,1000,0.45733383
2203518,C4H12BrN5,COD,700,0.45732927
22198,Cs2O16S3U2,ICSD,700,0.457321
2102235,C18H30N12O14Sr,COD,700,0.4573167
49017,CaMn2P2,ICSD,1000,0.45730582
165429,C6H24I3N12O6Ti,ICSD,700,0.4572711
4029796,C19H32N4,COD,1000,0.45726004
2000056,CH12NNaO7P,COD,700,0.45726
2015597,C8H26N8NiO10,COD,1000,0.45724747
2004489,C12H18O7,COD,1000,0.4572362
2214405,C14H26N8O2S3,COD,700,0.45723543
165733,Ce5Si4,ICSD,1000,0.4572334
2005907,C34H42CoN4O10,COD,1000,0.45723054
2201007,C20H42N4O25S2,COD,1000,0.45722917
8101519,C10H13N2O2,COD,1000,0.4572206
4304011,Br10FeLa6,COD,1000,0.45721352
152395,Cu2O8P2Sr,ICSD,1000,0.4572124
1509449,AgLi2Sn,COD,700,0.4572024
2017336,C6H6F3NO3S,COD,700,0.4572017
2005081,C4H10NO6P,COD,700,0.45719552
2224956,C4H4N5O5,COD,1000,0.4571919
99079,Ga2Mn3SiTm3,ICSD,700,0.4571909
7103311,C10H15AlI,COD,1000,0.45717508
1530211,Al3Bi5Cl12,COD,700,0.45717156
1100473,C6H15BCl2NP,COD,1000,0.4571537
2210930,C14H14CdN4O8,COD,700,0.45715305
59605,B2S3,ICSD,1000,0.45714983
2012719,C10H20Cl2CuN8,COD,700,0.45712844
110178,C10H28Mn2N7O8,ICSD,700,0.45712295
42035,Na4S4Sn,ICSD,1000,0.45711517
2020034,Ga7Sr8,COD,700,0.45711356
2201254,ClCrKO3,COD,1000,0.45710963
7005844,C19H23Cl3O5,COD,1000,0.4571033
632263,FeHfSi,ICSD,700,0.45710188
78925,ClLa6N3S4,ICSD,1000,0.4570946
2012547,C10H13O5,COD,700,0.4570924
8100724,H4K2O6Os,COD,700,0.45709097
61685,CCoGd,ICSD,1000,0.45709002
2218955,C19H29N3O3,COD,1000,0.45708883
425125,Na3SbSe3,ICSD,1000,0.45707878
380285,Cl6Cu3O12Te4Yb3,ICSD,700,0.45707268
2205810,C26H24CoF2N8O10,COD,700,0.45705807
37422,FeLu2S4,ICSD,700,0.45704627
2008245,C14H22N2O9P2,COD,1000,0.45703715
201346,B7Co3IO13,ICSD,1000,0.45703524
4322489,C19H34Cl2Cu2N4O11,COD,700,0.45703363
648099,P3Sc7,ICSD,1000,0.4570263
2223922,C10H10CoF6O5,COD,1000,0.4570157
2004343,C3H5N2O2,COD,1000,0.45701355
30762,CuNdSi,ICSD,1000,0.4570021
4027361,C18H18Fe,COD,1000,0.45699993
2006025,C14H20Cl2N10Sn,COD,1000,0.45698977
2015731,C12H15N3O4,COD,1000,0.4569872
152533,FeSi3Tm3,ICSD,700,0.45698678
2013884,C6H24N2O16P4Zn,COD,700,0.45697767
74721,BaClHO,ICSD,700,0.4569772
2014765,C13H18N6O2,COD,1000,0.45697623
406518,C2H8BrNOS,ICSD,700,0.4569669
2220205,C14H26CdN2O14S2,COD,700,0.45696396
2210294,C27H39InN6O18,COD,1000,0.4569526
2006146,C26H36Cl6CuN6O4,COD,700,0.45694283
4022247,C15H25NO6,COD,1000,0.4569421
2015135,C13H24O11,COD,1000,0.45693505
418810,Eu6H36N8O47,ICSD,700,0.45693225
411037,F15IO3Te3,ICSD,1000,0.45691907
2201239,C11H12N4,COD,1000,0.45691177
2001846,C13H19MnN9O2,COD,1000,0.45690015
110409,C2H16HoNO12S2,ICSD,700,0.45689875
2202604,C2H3N2O2,COD,1000,0.45689747
83866,Ca12Li6N16O3W4,ICSD,1000,0.45689204
4333137,C27H39Pr,COD,1000,0.4568905
413151,As5Cs3O9,ICSD,1000,0.45689037
2225270,C18H27N3O6S2,COD,1000,0.456886
9064,AlCl7Se,ICSD,700,0.45687523
2103126,C7H13NO5,COD,1000,0.4568469
2017419,C4H7N3O5S,COD,1000,0.4568452
650636,Ru2Si2Tb,ICSD,1000,0.4568408
4062068,C42H56N2OYb,COD,1000,0.4568373
169758,C4N4PtZn,ICSD,700,0.4568204
2310298,Cu2Y,COD,1000,0.45681432
4085129,C21H21Bi,COD,1000,0.45681357
2212699,C12H14CdN4O10,COD,700,0.4568105
2100112,C6H30B12N2O28Zn,COD,1000,0.45681044
241216,C6H10FeNa3O17,ICSD,700,0.4568052
2200012,C9H15ClN2O3,COD,1000,0.45679998
56232,HoNi2Si2,ICSD,700,0.4567983
25351,Ba2Ge,ICSD,700,0.4567868
7013320,C31H50N2,COD,1000,0.45678583
7015347,C26H50CuN12O20S2,COD,700,0.45676112
631863,Fe3GaZr2,ICSD,700,0.45676097
161791,BaCaFe4O7,ICSD,1000,0.4567502
62179,K3NdO7Si2,ICSD,1000,0.4567475
2200990,C4H8I4Sn,COD,700,0.45673773
76719,Ni2Si2Tm,ICSD,700,0.45673233
2213898,C11H24O4Sn2,COD,1000,0.45673063
2011022,C26H50O21,COD,700,0.456725
640193,InPPd5,ICSD,700,0.4567221
81203,Ca2FeO6W,ICSD,1000,0.45671922
2210590,C12H13CdI3N2,COD,700,0.4566909
2217505,C10H9BrN4OS,COD,700,0.45668694
620305,CdS2,ICSD,700,0.45668063
2213145,C22H24CuN6O5S2,COD,700,0.4566749
4066169,C48BF35,COD,700,0.45666763
186841,C5H15NO13P2U,ICSD,700,0.45664388
1511003,B2Co2Pr,COD,1000,0.45664203
80955,CInY3,ICSD,1000,0.45661035
657445,Al2H9Ni6Sm3,ICSD,700,0.45659888
7015109,C20H30Cl2CuN6O8,COD,1000,0.45659444
2211238,C15H18CuIN3S2,COD,700,0.4565838
1520406,C7H16O2,COD,1000,0.45657662
4500015,C4H4N3,COD,1000,0.45657176
8102779,C6H14O9Zn,COD,700,0.4565345
2221154,C19H25NO6,COD,1000,0.4565306
8101004,C16H18N2O9,COD,1000,0.45652124
8101358,C15H24O8,COD,1000,0.45651537
108129,CCo3Sn,ICSD,700,0.45651183
2229938,C16H36Br2CuN4O2,COD,700,0.45651042
249458,Eu2FK5O13Si4,ICSD,1000,0.45650923
2224179,C11H21N3O5,COD,1000,0.45649377
2207616,C38H42CoN4O16,COD,1000,0.45648107
21061,As2Cs2F10O,ICSD,1000,0.45647553
95847,F12Hf3ORb2,ICSD,1000,0.4564636
2223104,C24H38N4O16Zn,COD,700,0.45646352
2102675,C16H16BLiO20,COD,700,0.45645154
618707,C3Re2U2,ICSD,1000,0.45645088
2013212,C14H26N6O7S,COD,700,0.45643744
2211894,C20H26Cl3N3O,COD,1000,0.4564373
168862,Ge3PdSr,ICSD,700,0.4564342
653304,Ti2Zn,ICSD,700,0.45643145
9008249,Fe2O12S3,COD,1000,0.45642835
2009962,C12H14ClNO4S,COD,700,0.45642093
4309676,H8N4TeZn,COD,700,0.45639396
2212039,C9H10N3O5,COD,1000,0.4563926
