,id,T,formula,database,zT_pred,zT_std
5676,419180,700,B2CdO4,ICSD,0.11152134,0.05940835
54414,5910217,700,CBMo2,COD,0.11151873,0.08679129
55659,157313,700,Ca3F2Nb4O12,ICSD,0.1114888,0.08850045
2233,655666,700,AlB14Ho,ICSD,0.111471176,0.058808923
79199,2002282,1000,O4SrY2,COD,0.111457065,0.062557004
59355,35292,700,ClGdO4W,ICSD,0.11145602,0.058238395
59643,624603,700,Co12P7Pr2,ICSD,0.11143634,0.06049518
50070,401028,700,C6I17Pr12,ICSD,0.11142918,0.059392184
10898,59673,700,BiMn2O6P,ICSD,0.11141794,0.043815203
1123,608909,1000,Al16Ni7Ti6,ICSD,0.11141129,0.07180957
67070,1522294,1000,Fe23Zr6,COD,0.11141021,0.13866147
45654,2005627,700,C4FeO10P4,COD,0.1114038,0.04772369
48772,417824,700,C6FeMn2N6,ICSD,0.11139444,0.05082096
2875,608834,700,AlNiPu,ICSD,0.11138956,0.07345195
9347,1001078,700,BaGe3O9Sn,COD,0.11138616,0.049811162
56985,71840,700,CdO6Sr2W,ICSD,0.11137991,0.048018
75946,642771,700,Mg41Pr5,ICSD,0.11136028,0.07176178
59792,21115,1000,Co2GeO4,ICSD,0.1113442,0.05635912
77275,424739,700,Na2O8PTbW,ICSD,0.11133082,0.06298593
59341,281495,700,ClFeN3O3,ICSD,0.111326545,0.039506223
50152,4078600,700,C72H60Ge5,COD,0.11132217,0.26522005
70356,33722,1000,GeO3Zn,ICSD,0.11132019,0.043618765
33305,2104561,700,C24H20N2O4S2Ti,COD,0.11131951,0.15332502
78164,646127,700,Ni2P2Pr,ICSD,0.11129704,0.047112107
6494,169888,700,B4H16KSc,ICSD,0.111293815,0.283859
66505,1000167,700,F6Li2Ti,COD,0.11127648,0.10924873
46795,1526113,700,C4O46Si23,COD,0.111274645,0.050154928
60772,624028,700,CoLaSi3,ICSD,0.11126423,0.04565511
42472,7200831,700,C37H32Sn2,COD,0.11126214,0.33631104
63138,237424,700,Cu3Fe4LuO12,ICSD,0.11126068,0.054447196
75200,642370,1000,Li22Si5,ICSD,0.11122973,0.29186684
47516,16135,1000,C5ClMnO5,ICSD,0.111213654,0.061610505
66715,78899,700,F7SnTl,ICSD,0.11121156,0.055477493
9655,61315,700,BaO3Pa,ICSD,0.11120228,0.06670145
76120,414438,1000,MgTlY,ICSD,0.11120214,0.11057502
75509,416590,700,LiNbO6U,ICSD,0.11119434,0.0888283
54589,76131,700,CCr3Nb3,ICSD,0.111189336,0.08757235
81092,650662,700,Ru3Si2Y,ICSD,0.11118895,0.060852103
75918,9014625,1000,Mg39O120Si28,COD,0.11118822,0.048821494
6135,39742,700,B3Ba3O9Tm,ICSD,0.11117379,0.055407137
75762,642459,1000,LuNi2Si2,ICSD,0.11116397,0.0702579
55428,185980,700,CW,ICSD,0.11116194,0.07083402
60458,96003,700,CoFFeO4P,ICSD,0.111161515,0.045704253
59355,35292,1000,ClGdO4W,ICSD,0.11115013,0.076897815
38426,414344,700,C2Ge2La5,ICSD,0.111131884,0.10631321
55448,380153,1000,Ca11O24Re4,ICSD,0.11113071,0.059564576
9936,109310,1000,Be2FeO10Si2Y2,ICSD,0.11112238,0.07399419
61434,2213391,700,CrH22Mo6NdO35,COD,0.111108266,0.12938018
73126,36394,700,In2O9Te3,ICSD,0.11110508,0.05126865
79588,2004120,700,O8W2Zr,COD,0.11109404,0.07353198
66506,290251,1000,F6Li2V,ICSD,0.11107407,0.08986676
58237,416215,700,Cl2O11Sb8,ICSD,0.111071736,0.056682445
80451,649236,1000,Pr3Ru,ICSD,0.11106417,0.08505965
78882,9005564,1000,O22Si4Sr4Ti5,COD,0.11104963,0.06461394
1936,65049,1000,Al5Ba3,ICSD,0.11104765,0.057863362
75855,1523593,1000,Mg12Pr,COD,0.11104562,0.086905025
56745,4030528,700,CdCuF4,COD,0.1110284,0.07858522
48690,391271,1000,C6CeN9,ICSD,0.11098855,0.099398315
66348,31622,1000,F5U,ICSD,0.110977896,0.099681556
7328,7209481,700,BBiO3,COD,0.110966265,0.08199933
9526,62096,700,BaMn4O8,ICSD,0.11096546,0.04700643
72214,410760,700,Hg3O4P,ICSD,0.11096058,0.107580565
80739,80526,700,Pu2Si4Tc3,ICSD,0.11095498,0.07547907
75877,1523878,1000,Mg2Nd,COD,0.110949844,0.055866674
66161,23483,700,F4Ir,ICSD,0.11093296,0.08469429
7927,96585,700,Ba14Ir8O33Pd3,ICSD,0.110927165,0.04487309
1370,607372,700,Al2Er,ICSD,0.11092635,0.0863605
63023,155452,700,Cu2O8P2Pb,ICSD,0.11090682,0.07585122
8561,2002716,700,Ba3Lu2O11Zn5,COD,0.11087898,0.046102047
9576,20639,1000,BaNaNdO7Si2,ICSD,0.11087386,0.0788505
4502,1010919,1000,AsO4Y,COD,0.1108673,0.058627136
69872,39790,700,Ge4Lu6O17,ICSD,0.11085928,0.032355484
65592,631449,700,EuNiSi2,ICSD,0.110841446,0.051122524
75057,200088,700,LaO3Tl,ICSD,0.11083715,0.04529725
503,422686,700,AgAuF7,ICSD,0.11082601,0.051535755
364,421880,700,Ag4O4STe,ICSD,0.11082552,0.068239346
7428,1511070,1000,BCo4Nd,COD,0.11081728,0.07547039
78877,154165,1000,O21Tl2V8,ICSD,0.110802315,0.07418754
74830,1530887,700,La3O10Re2,COD,0.110779524,0.06554382
63397,2002651,1000,Cu5KO13V3,COD,0.11077803,0.08012427
7588,86150,1000,BGd3O10Si2,ICSD,0.11076643,0.08874412
65596,631464,1000,EuO2,ICSD,0.1107572,0.092091225
5991,1510768,1000,B2Mo5Si,COD,0.110743955,0.10598455
14862,157850,1000,C12Fe2N12Zn3,ICSD,0.11073451,0.07182686
76028,24725,700,MgO4U,ICSD,0.11072729,0.06531738
39183,407225,700,C2KNdO6,ICSD,0.11070755,0.09063461
70194,636889,1000,GeLi2Nd,ICSD,0.11070351,0.33186597
10964,181425,700,BiO6Re2,ICSD,0.11069683,0.049948186
9575,1519035,1000,BaNa2Si4,COD,0.11068897,0.31698766
61332,164940,1000,CrEuO6Te,ICSD,0.11068823,0.07171732
76253,643938,700,Mn2Zr,ICSD,0.11068696,0.12881969
9656,51659,700,BaO3Pb,ICSD,0.11068473,0.09307484
78866,9009721,700,O21P2Pb2U3,COD,0.11066256,0.068726726
76116,55549,700,MgTb2,ICSD,0.11065509,0.11031522
2615,607917,1000,AlGdPt,ICSD,0.11064362,0.12465158
78839,1526400,1000,O17PW5,COD,0.11064207,0.08623234
2879,1522419,1000,AlNiTb,COD,0.11063725,0.15443495
76662,422105,1000,Mo2O9SbTb,ICSD,0.11063187,0.068428285
61337,4339750,700,CrF2O2,COD,0.11061797,0.05551701
2195,62964,700,AlAs4BNa2O14,ICSD,0.110601485,0.048281427
78083,9008691,700,NdSe,COD,0.11060021,0.057393193
76501,2007587,1000,MnO7TeV2,COD,0.11056529,0.047322135
67036,1531242,700,Fe16OY6,COD,0.11056494,0.10573909
159,83294,700,Ag2La2O10Ti3,ICSD,0.110561565,0.07287333
4456,63353,700,AsNaNiO4,ICSD,0.11054199,0.044166993
4747,1510442,700,Au2La4O9,COD,0.11053519,0.057538625
3696,2106541,1000,As3Nb5,COD,0.110534966,0.092997186
539,4331385,700,AgBi2F12,COD,0.110534124,0.046092313
732,166891,700,AgFeO7V2,ICSD,0.110514365,0.04946424
65458,427571,1000,EuGeMg,ICSD,0.110489175,0.11263585
1526,608815,1000,Al2NiO4,ICSD,0.110488504,0.0610475
74717,80519,700,La11O26V4,ICSD,0.11048171,0.04872216
55815,1008743,1000,Ca5Ge3O11,COD,0.110464424,0.05933224
68435,9013458,1000,Ga5Gd3O12,COD,0.11045844,0.04787106
10014,2106455,1000,Be4O7Te,COD,0.11045108,0.08033186
21807,4320360,700,C15Mn4O15S4,COD,0.11045045,0.058895536
9630,169676,700,BaO10Sm2Ti3,ICSD,0.11044806,0.06164611
75924,1523650,700,Mg3Nd,COD,0.11042911,0.08732675
78729,1532260,1000,O12Pb2V5,COD,0.11042894,0.066742465
68937,82466,1000,Gd2Na2O10Ti3,ICSD,0.11041778,0.077352345
79461,167053,700,O7Sc2SrTb2,ICSD,0.11040449,0.047147095
65934,410934,1000,F2Mn3O4Si,ICSD,0.110402234,0.052593887
67430,152595,1000,Fe4O24V6Zn3,ICSD,0.11038399,0.064525895
1275,63661,1000,Al2Ca2FeHO13Si3,ICSD,0.11038195,0.099742144
2262,27647,700,AlBCaO4,ICSD,0.11036822,0.07174936
67835,632794,1000,FeNbP,ICSD,0.110361636,0.06749963
5964,4331427,700,B2LuRu3,COD,0.11033249,0.09312332
63988,163695,700,CuMgY,ICSD,0.11032337,0.11485563
6573,1511484,700,B4Mn3,COD,0.11031766,0.049269393
52529,2212358,700,C8H5NO8U,COD,0.11031719,0.12298217
56957,39806,700,CdO14Sr3V4,ICSD,0.11031049,0.055665214
7598,614401,700,BGe2Nb5,ICSD,0.11030011,0.08200897
77828,76564,1000,NbS,ICSD,0.11029098,0.050115813
3406,290621,700,As2H7O12Zn3,ICSD,0.11029033,0.06257134
64209,84528,700,CuS2Sm,ICSD,0.11026986,0.05484438
73511,81660,700,InNiO6Sr3,ICSD,0.11026233,0.037524562
