,id,T,formula,database,zT_pred,zT_std
740,2106460,1000,In2Te5,COD,1.6582278,0.14091197
745,1525202,1000,IInTe,COD,1.657795,0.13881856
746,1527269,1000,Ga2LiPt,COD,1.6575905,0.1459223
749,4031247,1000,CrPb2,COD,1.6573523999999995,0.14715196
751,4000567,1000,BaCu2Se4Sn,COD,1.6568003,0.1252888
760,66032,1000,IIn3Te3,ICSD,1.6540518,0.14501227
771,612019,1000,Au3In2,ICSD,1.6521677,0.13458908
772,240354,1000,AsBrCdHg,ICSD,1.6521363000000002,0.1431532
774,5910282,1000,Ga2HgSe4,COD,1.6520456,0.119910866
777,4030787,1000,ErRbS2,COD,1.6517656000000005,0.13784489
790,411861,700,As4Br6Hg6Sn,ICSD,1.6484863999999997,0.11691854
791,4111783,1000,AgSbTe2,COD,1.6482376,0.13974565
796,180364,1000,Ga5Pt,ICSD,1.6471465,0.12725772
801,405639,700,Bi12I3Ni4,ICSD,1.6451441999999998,0.13445455
805,611241,1000,AsPt5Tl,ICSD,1.6437073,0.12822677
810,59110,1000,CsI4Tl,ICSD,1.6431034,0.1326393
816,151996,1000,I5InSn2,ICSD,1.6410843000000002,0.14407820000000002
823,39931,700,As10Br18Hg19,ICSD,1.6399965,0.13359807
844,164149,1000,Co2Sn3Te3,ICSD,1.6344018,0.1291191
848,8102896,1000,CsPPbS4,COD,1.634081,0.14964919
858,9012347,1000,PdSb2,COD,1.6318936000000002,0.14961536
859,416330,1000,AgK3Se8Sn3,ICSD,1.6317546,0.12907328
869,1008205,1000,ISbTe,COD,1.6307037,0.14710133
872,634431,1000,GaInSe3,ICSD,1.6304011,0.13378292
875,9008952,700,SeTl,COD,1.6301169,0.1382875
880,400669,1000,In7Te10,ICSD,1.6284164,0.14639837
882,166870,1000,CoSn3,ICSD,1.6278468,0.12285829
883,99296,1000,CoCu2Se4Sn,ICSD,1.6276917,0.13341306
892,159465,700,Bi2BrInSe4,ICSD,1.6256516,0.13244389999999998
908,74456,1000,CuGaTe2,ICSD,1.6231361999999998,0.12008074
914,425490,1000,In4Se3,ICSD,1.6223259,0.13462567
915,1510585,1000,Au7Ga2,COD,1.6220877,0.1407511
929,416513,1000,CoPd2Se2,ICSD,1.6197106,0.14963612
932,9008069,1000,AgCuSe,COD,1.618996,0.11249454
940,4313802,1000,CsHgSe3Sm,COD,1.6167268999999995,0.14829597
948,423015,700,BiIIn2Se4,ICSD,1.6134824,0.11929946
949,159466,1000,BrInSb2Se4,ICSD,1.613266,0.11789018
956,59501,1000,In9Pt13,ICSD,1.6120431,0.11860202
975,407982,1000,GaI7Te,ICSD,1.6093144,0.14708862
985,407981,1000,I7InTe,ICSD,1.6079226,0.1364442
987,236250,1000,Cu2KSbSe3,ICSD,1.6075583,0.123511896
992,189278,1000,Cu2Se4SnZn,ICSD,1.6073141000000002,0.13654803
1003,411136,700,Bi9I3Rh2,ICSD,1.6056507,0.14904717
1005,56324,1000,In4Se4Sn,ICSD,1.6050874,0.14685915
1009,9011850,1000,Ag7Te4,COD,1.6042346,0.12903573
1013,649557,1000,Pt3Sb,ICSD,1.6035901,0.115787454
