id,T,formula,database,zT_pred,zT_std,mp_id,source
262688,1000,ClCs6Ho21Te34,ICSD,1.9465481,0.17129841,mp-1201961,greedy
261016,1000,PbSe3Tl4,ICSD,1.9459473000000005,0.15317734,mp-1195087,greedy
7100873,1000,Bi3CsSe5,COD,1.9458933,0.14812899,mp-567928,greedy
1510365,1000,AuBi9Br9,COD,1.9450732,0.16815472,mp-684015,greedy
236253,1000,Bi4SnTe7,ICSD,1.9432074,0.16832125,mp-1101917,greedy
616991,1000,BiPtSe,ICSD,1.9420017,0.13932148,mp-1103607,greedy
2012689,1000,TeTl2,COD,1.940568,0.1688865,mp-582753,greedy
5910260,1000,Hg2I3NaO2,COD,1.9403236,0.20018873,,greedy
411892,1000,Cs5K3Pb18,ICSD,1.9398531000000003,0.20628023,mp-581775,greedy
412895,1000,Bi14Br16Pd,ICSD,1.938359,0.18057482,mp-542522,greedy
9004849,1000,Bi2Se2Te,COD,1.9371464,0.1581608,mp-31406,both
58834,1000,BiPb3Pt,ICSD,1.9371328,0.1982469,mp-680530,greedy
413308,1000,HgK2Se4Sn,ICSD,1.936468,0.1489625,mp-568968,greedy
2010577,1000,BiISe,COD,1.9358176,0.18309096,mp-23020,greedy
1010460,1000,Cu2HgI4,COD,1.9344664,0.16724087,mp-568598,greedy
93372,1000,Ag2BiCsS3,ICSD,1.9333034,0.15486944,mp-1193928,greedy
40260,1000,Te3Tl5,ICSD,1.9327691,0.16532853,mp-174,greedy
1510182,1000,AuITe,COD,1.9319278,0.19210187,mp-27741,greedy
1527777,1000,AsPb2Pd3,COD,1.9303007,0.17903838,mp-20257,greedy
1510187,1000,AuI4Li,COD,1.9284168,0.15876839,mp-29520,greedy
652804,1000,SnTl,ICSD,1.9273552,0.17000873,mp-2556,greedy
1523090,1000,HgPo,COD,1.9255056,0.21142018,,greedy
413300,1000,Ag2HgI2S,ICSD,1.9245065,0.16186137,mp-556866,greedy
1528273,1000,Bi6Br7,COD,1.9240708,0.17472702,mp-27709,both
33893,1000,Cs2Pt3Se4,ICSD,1.9240361,0.18989247,mp-14338,greedy
4002338,1000,Bi8Cs2Se13,COD,1.9233556,0.19590238,,greedy
85412,1000,BiK2RbSe3,ICSD,1.9221212,0.19212873,mp-621964,greedy
616577,1000,BiCu,ICSD,1.9213175,0.16445406,mp-569792,greedy
1510206,1000,AuKSe2,COD,1.9206963,0.20762435,mp-29138,greedy
1510457,1000,Au2Pb,COD,1.9198493000000003,0.15739572,mp-19871,greedy
1010622,1000,BiI3,COD,1.9193459,0.19813108,,greedy
9004221,1000,HgPd,COD,1.9178092,0.17717388,mp-2685,greedy
42708,1000,Bi2Pb2Te5,ICSD,1.9175524,0.15720941,mp-569044,greedy
1510186,1000,AuI4K,COD,1.917093,0.16862425,mp-29519,greedy
416287,1000,AuBi8Br9Sb,ICSD,1.9152287,0.1742264,mp-573727,greedy
4312037,1000,CsTe3TmZn,COD,1.9138225,0.14782426,mp-1103187,greedy
9008911,1000,BiPt,COD,1.913591,0.19786179,mp-1066078,greedy
1529984,1000,HgI4K2,COD,1.9134718,0.18334311,,greedy
