# List of unique stable 3D crystal structures from the COD (free) and ICSD (not free) databases.
# Created by Nicola Marzari’s group involving some cleaning to remove implausible materials.
formula,database,id
C12H28BKO6,COD,2015437
C12H28BaO9,COD,4309268
C12H28Br2CoN4O6,COD,4321964
C12H28Br2MnN8O2,ICSD,171635
C12H28Br2N2SiZn,COD,2222001
C12H28Br2N4Ni,COD,2011522
C12H28Br2N4O8Sr,COD,2215762
C12H28CaI2O5,COD,2216324
C12H28Cl2CuN4O8,COD,2009586
C12H28Cl2N4O18Zn,COD,2205142
C12H28Cl2O7V2,ICSD,168382
C12H28Cl3CuN,COD,2009935
C12H28Cl6N2Sn,COD,2218027
C12H28Cl9NW3,COD,4301936
C12H28ClHgO12,COD,4303861
C12H28ClN,COD,2004094
C12H28ClN8NiO8,COD,4321934
C12H28ClNO4,COD,2205819
C12H28ClO22Rh3,COD,4101192
C12H28CoN2O6,COD,2209858
C12H28CuN4O6,COD,2203874
C12H28GeO4,COD,7011556
C12H28IN,COD,2010219
C12H28LiN2P,COD,4062094
C12H28LiO2Si2,COD,2102408
C12H28Mo2N2O15,COD,2102317
C12H28N12Ni2O5,COD,2015471
C12H28N12NpO18,ICSD,262183
C12H28N12O18Pu,ICSD,262184
C12H28N12O18Th,ICSD,262181
C12H28N12O18U,ICSD,262182
C12H28N2O4Pd,COD,2005438
C12H28N2O5,COD,2102617
C12H28N2P3,COD,2220290
C12H28N4NiO7S4,COD,2004603
C12H28N6NiS2,COD,2006700
C12H28O3P4Pd,COD,2000818
C12H28O4V,COD,7015367
C12H28P2Se3,COD,7101092
C12H28Si3,COD,1513722
C12H29CaClO16,COD,2004817
C12H29MgN2Na,COD,2015503
C12H29NO8,COD,2220114
C12H2ClIrO12Ru3,ICSD,81939
C12H2K3Mn3O13,ICSD,69974
C12H30AlN2P,COD,4062091
C12H30As2Cl2Pt,COD,2012394
C12H30As2MnN6Se6,COD,2212067
C12H30B3Cl7N2P2,COD,1100474
C12H30Be2F8N4O,COD,2012790
C12H30CaCl4O9Zn,COD,2212418
C12H30CdI10N6O6,COD,2207253
C12H30Cl2CuN2O6,COD,2205818
C12H30Cl2N12O8Zn,COD,2205242
C12H30Cl2N2NiO6,COD,2003896
C12H30Cl2N2P2S,COD,1100446
C12H30Cl2N6O8Zn,COD,2210884
C12H30Cl2O9Zn,COD,2211813
C12H30Cl2P2Pt,COD,2012395
C12H30Cl4CoN4O3,COD,2008043
C12H30Cl4N2Sn,COD,2005431
C12H30Cl4P2Re,COD,4322141
C12H30ClNO,COD,2221530
C12H30CoGdN8O21,COD,2013097
C12H30CoI2N5O3,COD,2103549
C12H30CoInN6O14,COD,2229951
C12H30EuI2O6,COD,1100184
C12H30I2O6Sr,COD,2205299
C12H30Mn2N36O27S,ICSD,279604
C12H30MoN4S4,COD,2014301
C12H30N2NiO10S,COD,2222420
C12H30N2NiO8P2,COD,2222085
C12H30N2O7,COD,2201632
C12H30N2Zn,COD,2211758
C12H30N4O13,COD,2101861
C12H30N6O,COD,2205087
C12H30N6O15S2W2,COD,2101761
C12H30N8O6Pt,COD,4322120
C12H31B9ORu,COD,2000948
C12H31BiF2N2P2,COD,1100557
C12H31Cl3N4O8,COD,2200438
C12H31CuN5O6,COD,2013481
C12H31NO3SSi,COD,2218776
C12H32Br2NiO4S6,COD,2200493
C12H32CaO19,COD,2004820
C12H32Cl2CoN5O12,COD,2103551
C12H32Cl3CoN8O,COD,2001622
C12H32Cl4MnN2,COD,2213055
C12H32Cl4N4Th,COD,2005911
C12H32Cl4O4Th,COD,2008748
C12H32Cl4O4U,COD,2008747
C12H32Cl4O8Sn,COD,2219512
C12H32Cl6IrN2,COD,2200968
C12H32Cl6N2O6Pt,COD,2005959
C12H32Cu3N22,COD,4303771
C12H32CuLi2O18,COD,2005819
C12H32CuN4O8,COD,2013482
C12H32F6N2Si,COD,2007730
C12H32GaN2P,COD,4062093
C12H32I4N2Pb,COD,2102942
C12H32Li2O2Pt,ICSD,163652
C12H32Mo4N2O13,COD,2217733
C12H32N12O17Pt3Th2,ICSD,168513
C12H32N2O4S,COD,2203827
C12H32N2O9,COD,7205609
C12H32N4Ni,COD,4060331
C12H32N4Si,COD,8100318
C12H33Cl3N4O4,COD,7205803
C12H33Cl6In2N3,COD,2011501
C12H33GaOSi3,COD,2001513
C12H33KSi3Zn,ICSD,192548
C12H33LiSi3Zn,ICSD,192546
C12H33N2PSi2Zn,COD,1100550
C12H33NaSi3Zn,ICSD,192547
C12H34Cl2CoN5O12,COD,2103550
C12H34CoN7O8,COD,2210493
C12H34CoN8O13P3,COD,2001196
C12H34N6NiO7,COD,2221877
C12H34Si5,COD,4064080
C12H35Cl8O19SbV6,ICSD,260319
C12H35FeNP4,COD,4063180
C12H35FeNaO4S3,COD,2008689
C12H35N2Si4Sn,ICSD,173277
C12H35N4Si2Ta,ICSD,162968
C12H35Si5,COD,4064070
C12H36Al3Ce,ICSD,190079
C12H36Al3Er,ICSD,190082
C12H36Al3Ho,ICSD,190081
C12H36AlCl3O6S6,COD,2202306
C12H36AlI3O6S6,ICSD,414685
C12H36As2O3Si6,ICSD,188773
C12H36As2Si4Zn,ICSD,150979
C12H36Bi2O3Si6,ICSD,188775
C12H36BiCl6N3,COD,2001370
C12H36Br20O6Si6Zr5,ICSD,245733
C12H36Br2P4Tc,ICSD,166912
C12H36Br3FeO6S6,COD,2206950
C12H36Br6Cd3N8O6,COD,2011203
C12H36Br7Cd2N3,COD,2200787
C12H36CaCl2O12,COD,2000518
C12H36CaO25S6W6,ICSD,187250
C12H36Cl2CuN4O4,COD,2010738
C12H36Cl2MoP4,ICSD,185489
C12H36Cl2N4NiO2,COD,2214677
C12H36Cl2N6OTa2,ICSD,162720
C12H36Cl2N8Ni,COD,2012470
C12H36Cl2P4W,ICSD,185488
C12H36Cl3CrO6S6,COD,2218662
C12H36Cl4Mo2O5P4,ICSD,249208
C12H36ClN2Si4Yb,ICSD,172457
C12H36ClN4Si2Ta,ICSD,162967
C12H36Co2Cu3N12O30,ICSD,421508
C12H36Er2Ni3O30S12,ICSD,172325
C12H36FeN3O18S6,COD,2004090
C12H36GaI3O6S6,ICSD,414686
C12H36GeSn4,COD,2217205
C12H36I3InO6S6,ICSD,414687
C12H36I4NiO6S6,COD,2008212
C12H36I8Sb3,ICSD,77515
C12H36InNSn3,COD,1100412
C12H36KN3Se6Sn2,ICSD,110396
C12H36Mo5N4O23P2,COD,2005956
C12H36Mo8N6O27,COD,2004928
C12H36N2O11,COD,2210709
C12H36N2Si4Zn,ICSD,281768
C12H36N6O7Si2,ICSD,240233
C12H36N8NiS4W,COD,2012471
C12H36N9NdO18,ICSD,159489
C12H36O19V6,COD,4100291
C12H36O3Sb2Si6,ICSD,188774
C12H36O5Si4Te,ICSD,163647
C12H36O6Si6Te,ICSD,163658
C12H37B2N5Si2,ICSD,170837
C12H37Cl8Mo2N3,ICSD,110173
C12H37N11O12S4Sn,COD,2009219
C12H38AlF7N4O,COD,1100113
C12H38Br2N8NiP2,COD,1100217
C12H38Cl2N4NiO4,COD,2214918
C12H38CuO14S8,COD,2205740
C12H38F7InN4O,COD,1100114
C12H38O15,COD,2001920
C12H3BFe4O12,ICSD,201318
C12H3BO12Ru4,ICSD,40063
C12H3Cl7,COD,2209626
C12H3ClO12Os4,COD,2005856
C12H3CoO12Ru3,ICSD,23340
C12H3IO12Os4,ICSD,201204
C12H3N6O14,COD,5000146
C12H3NO12Os4,COD,4061864
C12H3O12RhRu3,ICSD,68568
C12H40Cl4N6NiO4,COD,2015480
C12H40Co2N24Ni3O2,ICSD,411631
C12H42BI13O12Zr6,ICSD,280451
C12H42Cl14N6Pb,COD,2010484
C12H42Mo5N4O25P2,COD,2207019
C12H42N3Nb5O17,ICSD,162994
C12H43FMg3O12,ICSD,173104
C12H44Cl2CuN8O10,COD,2219085
C12H44Cl2MnN8O10,COD,2207105
C12H44Cl2N8NiO10,COD,2202706
C12H44Cl2N8O10Zn,COD,2219382
C12H44CoN8O16P3,COD,2005175
C12H44F12Mo2N8O3,COD,2213268
C12H44FeN10O16,COD,2202903
C12H44MnN10O16,COD,2203481
C12H44N10NiO16,COD,2201712
C12H45Ge11N3O28,ICSD,174503
C12H48Al7F29N8O2,COD,1000506
C12H48Al7F30N8O,COD,1000507
C12H48B6O7U2,COD,2015370
C12H48CdI6N12Zn2,COD,2015431
C12H48Mn2N12Sb2Se5,COD,2201800
C12H48Mo3N8O15,COD,2003229
C12H4Br6O,COD,2201459
C12H4CoS12,COD,4303999
C12H4CuF12NO4,COD,2001449
C12H4Fe3O9S,COD,4060594
C12H4N5O42PV14,ICSD,110230
C12H4N6O23Zn,COD,2016130
C12H4O2S5,COD,2008108
C12H4O3,COD,8100630
C12H4O3S4,COD,2008109
C12H4O5Zn,COD,7104709
C12H4S5,COD,4111858
C12H50CeCl3O11P4,COD,2012720
C12H50Mg2N24O21S2,COD,2007974
C12H50N3Nb5O21,ICSD,419266
C12H54B6N3P2U,ICSD,260851
C12H55N15O36V10,ICSD,192722
C12H5Ag3N4O8,COD,2016946
C12H5Br5O,COD,2201651
C12H5Cl2N,COD,2015176
C12H5Cl4NS,COD,2003772
C12H5Cl5,COD,2206653
C12H5Co3O9,COD,4320372
C12H5CrF2O5P,COD,2005247
C12H5F12O7Zn,COD,4301049
C12H5F3N2O2S,COD,2101555
C12H5F4,COD,2012081
C12H5F5NO2,COD,2223390
C12H5F5S,COD,2225711
C12H5N,COD,4026829
C12H5N3,COD,7051611
C12H5N3O6,COD,2000484
C12H5N5,COD,7016154
C12H5NNaO9Zn2,COD,2202348
C12H5NO12Os4,COD,4061862
C12H5NO2,COD,8100544
C12H60B12MgO12,ICSD,248631
C12H6Br2CuN2O4,COD,2223276
C12H6Br2S,COD,7050664
C12H6Br2S3,COD,2223164
C12H6Br4O,COD,2204090
C12H6CdN2O4,COD,2203268
C12H6CdO5,COD,2102330
C12H6Cl2N2O3S,COD,2006902
C12H6CrN4NaO13,COD,4321959
C12H6Cu2O21,COD,7008337
C12H6F4NO2,COD,2222651
C12H6F6N2O3,COD,2214610
C12H6F6Te,COD,4320285
C12H6FeO4,COD,7103560
C12H6MnO5,COD,2102329
C12H6N18ORb2,ICSD,413139
C12H6N2O3S,COD,2217939
C12H6N2S3,COD,7203991
C12H6N4S3,COD,7100058
C12H6Na2O13,COD,8102219
C12H6O13Zn4,COD,4302253
C12H6O5,COD,2006749
C12H6O6Sc,COD,4000644
C12H6O7Pb2,COD,7201548
C12H6OS11,COD,4312745
C12H6OS2,COD,7051956
C12H6S,COD,1516580
C12H6Se,COD,1516584
C12H7,COD,7104474
C12H7Br3O,COD,2200836
C12H7Br4N3,COD,2012562
C12H7Br5,COD,2200842
C12H7BrCl2N2O,COD,2004487
C12H7BrCl2O3S,COD,2223956
C12H7BrN2O,COD,2200508
C12H7BrN2O2,COD,2202203
C12H7BrN2O2S,COD,2209336
C12H7BrN6,COD,2211020
C12H7Cl2FN2O,COD,2222709
C12H7Cl2NO5S,COD,2013833
C12H7Cl2NO6,COD,2221214
C12H7Cl3,COD,2200200
C12H7Cl3O2,COD,2017232
C12H7Cl4NO2S,COD,2222598
C12H7ClFN3,COD,2207637
C12H7ClN2,COD,2007682
C12H7ClN2O2,COD,2217251
C12H7CuN3O8,COD,2218291
C12H7F5,COD,4120419
C12H7FN2,COD,2000280
C12H7FNO,COD,2015573
C12H7IN2O4S4,COD,2201922
C12H7KO3S,COD,2002940
C12H7N,COD,4029373
C12H7N2,COD,7016376
C12H7N3O2,COD,2008275
C12H7N3O2S,COD,2005874
C12H7N3O5,COD,2217227
C12H7N3O9S,COD,2202496
C12H7N5,COD,2007947
C12H7N5O8,COD,2215718
C12H7NO2,COD,2213319
C12H7NO3,COD,2004253
C12H7NO5,COD,2219256
C12H7NS,COD,4023311
C12H7O2,COD,7205627
C12H7O3,COD,4101912
C12H7O7Pb2,COD,4305946
C12H7S,COD,7200488
C12H7S3,COD,4001360
C12H8AgBF4N4,COD,2012347
C12H8AgClN2,COD,2204258
C12H8AgErN4O9,COD,2222749
C12H8AgN4NdO9,COD,2222439
C12H8AgN5O4,COD,2202163
C12H8AuCl3N,COD,2219362
C12H8BBr,COD,2224954
C12H8BCl,COD,4315561
C12H8BiI3N2,COD,2210976
C12H8Br2CdN2,COD,2213844
C12H8Br2CuN2O5,COD,2220510
C12H8Br2CuN4,COD,2204370
C12H8Br2HgN4,COD,2229930
C12H8Br2N2Pd,COD,2224814
C12H8Br2O,COD,2102645
C12H8Br2O2S,COD,2213066
C12H8Br2S,COD,4025261
C12H8BrClN2O,COD,2100536
C12H8BrClN2O5,COD,2210695
C12H8BrF,COD,2000284
C12H8BrFO,COD,2103047
C12H8BrN,COD,2218692
C12H8BrNO5S,COD,2223905
C12H8CdCl2N2,COD,2202366
C12H8CdI2N2,COD,2210927
C12H8CdN2O3S2,COD,2014482
C12H8CdN2O4,COD,2206034
C12H8CdN4O2,COD,4302918
C12H8CdN8,COD,2226406
C12H8Cl2Cu3N10,COD,2211024
C12H8Cl2HgN3,COD,2206801
C12H8Cl2N2O,COD,2100535
C12H8Cl2N2O5,COD,2017133
C12H8Cl2N2OS,COD,2214949
C12H8Cl2N2Pd,COD,2224687
C12H8Cl2N4O,COD,2224703
C12H8Cl2N4Pd,COD,2201547
C12H8Cl2N4SZn,COD,2217416
C12H8Cl2N4Se2Zn,COD,2219449
C12H8Cl3NO2S,COD,2229917
C12H8Cl4N2OPt,COD,2220776
C12H8Cl4N2Sn,COD,2212057
C12H8ClCu2N5,COD,4100610
C12H8ClF,COD,2102766
C12H8ClIN2O,COD,2100537
C12H8ClN2O4,COD,2216151
C12H8ClN2S,COD,2200106
C12H8ClN3O2,COD,2205356
C12H8ClN3O3,COD,2014875
C12H8ClN3OS,COD,2203280
C12H8ClN5Zn,COD,7015103
C12H8ClNO2S2,COD,2102153
C12H8ClNO5S,COD,2013929
C12H8ClO,COD,2214987
C12H8ClO2,COD,2210748
C12H8Co3N8O6,COD,4300711
C12H8CoN10,COD,7014442
C12H8CoN2O4,COD,2223306
C12H8CoN4O2,COD,4302917
C12H8CoNa2O28U2,ICSD,251126
C12H8Cu2N15,COD,4312758
C12H8CuIN4,COD,2203975
C12H8CuMo4N3O13,COD,2214072
C12H8CuMoN2O5,COD,4322273
C12H8CuN10,COD,2216742
C12H8CuN2O4,COD,2200552
C12H8CuN2O6,COD,2224701
C12H8CuN4,COD,7105825
C12H8CuN4O2,COD,2001598
C12H8CuN4O4,COD,2200513
C12H8CuN4O6,COD,2215080
C12H8CuN4S2,COD,2010187
C12H8CuN5,COD,7100848
C12H8F2MoN2O2,COD,2223192
C12H8F2N2O,COD,2220372
C12H8F2O2S,COD,2219868
C12H8F3,COD,7108094
C12H8F3N3O,COD,2103057
C12H8F5N3O2,COD,4024038
C12H8Fe2O6S,COD,4061555
C12H8FeMoN2O4,COD,2203972
C12H8FeN10,COD,7014443
C12H8FeN2O4,COD,2211810
C12H8FeN6,COD,7009669
C12H8FeNa2O28U2,ICSD,251125
C12H8I2N2Pt,COD,2224716
C12H8IP,COD,4304565
C12H8K6Mo2O21,COD,2007836
C12H8LaN3O11,COD,2201824
C12H8LaO7,COD,2225049
C12H8MnN10,COD,7004884
C12H8MnN2O5S2,COD,2011694
C12H8MnN8,COD,4307397
C12H8MnNa2O28U2,ICSD,251124
C12H8MnO5,COD,2217121
C12H8MoN2O4Zn,COD,4322274
C12H8N,COD,4101114
C12H8N2NiO4,COD,2012571
C12H8N2NiO6,COD,2216422
C12H8N2O,COD,2004551
C12H8N2O4S,COD,2222710
C12H8N2O4S2Zn,COD,2016418
C12H8N2O4S3,COD,2004965
C12H8N2O4Zn,COD,2210284
C12H8N2O5,COD,7100486
C12H8N2O5V2,COD,2211537
C12H8N2O6S,COD,2005674
C12H8N2O7S,COD,2202497
C12H8N2O9Os3,COD,4062369
C12H8N2S,COD,2206948
C12H8N3,COD,2213063
C12H8N3O2Os,COD,4062307
C12H8N3O2Ru,COD,4062306
C12H8N3O6,COD,2012915
C12H8N4Ni,COD,2011177
C12H8N4NiO2,COD,4302916
C12H8N4O,COD,2203908
C12H8N4O2Zn,COD,2015137
C12H8N4O9,COD,2206552
C12H8N4Pt,COD,2101602
C12H8N4S,COD,2203460
C12H8N4S4Zn,COD,2104498
C12H8N5,COD,7200502
C12H8N6O2S,COD,4024064
C12H8N8Pt,COD,7000847
C12H8NO,COD,7150614
C12H8NO3,COD,2212771
C12H8NO4,COD,2008298
C12H8Na2O28U2Zn,ICSD,251127
C12H8O,COD,4021851
C12H8O3,COD,7030431
C12H8O5,COD,7153488
C12H8O5Zn,COD,2016232
C12H8OS4,COD,2005514
C12H8S,COD,1515766
C12H8S3,COD,2215871
C12H9AgClN6O4,COD,2104606
C12H9AgN4O3,COD,2216009
C12H9AsO3,COD,7014148
C12H9AsOS3,COD,2200730
C12H9B,COD,4105828
C12H9BO,COD,4315565
C12H9Br2IN2Zn,COD,2216135
C12H9Br2NO2S,COD,2102883
C12H9Br3N2Zn,COD,2222786
C12H9Br5,COD,2201159
C12H9BrCl2HgN2,COD,2222785
C12H9BrClN3O3,COD,2212885
C12H9BrCrN2O3,COD,2017024
C12H9BrI2N2Zn,COD,2219152
C12H9BrN2,COD,2201135
C12H9BrN2O,COD,2004700
C12H9BrN2OS,COD,2215347
C12H9BrN2OS2,COD,2223439
C12H9BrN2Se,COD,7015184
C12H9BrN4,COD,2226473
C12H9BrO,COD,7205016
C12H9BrO2,COD,2224528
C12H9BrO4,COD,2015926
C12H9CdCl2N3,COD,2216583
C12H9CdN5O4S,COD,7015102
C12H9CdN7O3S,COD,2219925
C12H9Cl2CuIN2,COD,2221820
C12H9Cl2IN2Zn,COD,2216136
C12H9Cl2N3O4,COD,2017005
C12H9Cl2N5OZn2,COD,7015100
C12H9Cl2NO2,COD,2219941
C12H9Cl2NO2S,COD,2209343
C12H9Cl2NO7,COD,2210823
C12H9ClFN3,COD,2014939
C12H9ClFNO3,COD,2203682
C12H9ClINO4,COD,2004542
C12H9ClN2,COD,2010679
C12H9ClN2O,COD,2100532
C12H9ClN2O2,COD,2209074
C12H9ClN2O2Ru,COD,4322100
C12H9ClN2O4,COD,2213621
C12H9ClN2Se,COD,7015187
C12H9ClN4O,COD,2209761
C12H9ClN4O3,COD,2102759
C12H9ClN4O5,COD,2013760
C12H9ClN4OS2,COD,2216015
C12H9ClNO,COD,2202607
C12H9ClO,COD,2103242
C12H9ClO2,COD,4023800
C12H9ClO2S,COD,2103597
C12H9ClO4,COD,2015925
C12H9CoN5S2,COD,2216088
C12H9CuN3O5,COD,2200354
C12H9F2N3,COD,2005984
C12H9F2NO2S,COD,2102899
C12H9F3N2O,COD,2010049
C12H9F4N2O,COD,4024063
C12H9FN2O,COD,2222025
C12H9FN3,COD,4315155
C12H9Fe,COD,7204715
C12H9FeO2,COD,2006953
C12H9IN2O2S,COD,2013211
C12H9IN2O4S,COD,2103232
C12H9IN2Se,COD,2010755
C12H9IO,COD,2226697
C12H9In2O9,COD,4317938
C12H9Mn2O9P,ICSD,56448
C12H9MnN7O,COD,4322512
C12H9MnO3S,COD,4100555
C12H9N,COD,2225784
C12H9N11O6,COD,7104935
C12H9N2,COD,2014672
C12H9N2O,COD,2223481
C12H9N2O2,COD,2203499
C12H9N2O4,COD,2220642
C12H9N2O4Re,COD,2209329
C12H9N2O5PV,COD,2204358
C12H9N2P,COD,7014467
C12H9N3O,COD,2101392
C12H9N3O2,COD,2219215
C12H9N3O2S,COD,4100586
C12H9N3O7,COD,2010640
C12H9N4,COD,2213900
C12H9N5,COD,2237546
C12H9N5O2,COD,2011706
C12H9N5O3S2,COD,2216055
C12H9N5O4,COD,2013427
C12H9N5O5SZn2,COD,7015099
C12H9N5S,COD,4321898
C12H9NO,COD,7051657
C12H9NO2,COD,8102552
C12H9NO2S,COD,2201552
C12H9NO3,COD,7100493
C12H9NO4,COD,2217099
C12H9NO5S,COD,2214900
C12H9NO6S,COD,2208213
C12H9NOS,COD,2007178
C12H9NTe,COD,2001696
C12H9O,COD,7201004
C12H9O2,COD,4112802
C12H9O3P,COD,7014142
C12H9O3PSe,COD,2101728
C12H9O4P,COD,2214825
C12H9O8Yb,COD,4309499
C12H9OS,COD,7205466
C12H9S,COD,7018103
C12H9Se,COD,7018104
C12H9Te,COD,7018105
C12HF10N,COD,2015420
C12HF10N3,COD,2228454
C12HF10P,COD,4313735
C12Ho8Rh5,ICSD,618102
C12I2O12Os3,ICSD,200040
C12La21Mn8Sb7,ICSD,182044
C12La21Mn8Sn7,ICSD,182045
C12LiN2,COD,9007872
C12Mn2O12Pt,ICSD,41117
C12N12Ni4Rb7,ICSD,16224
C12N2O13Ru4,ICSD,61505
C12O12Os4S,ICSD,37256
C12O12PtRe2,ICSD,60074
C12O6Sc,COD,4326807
C12Rh5Tb8,ICSD,618726
C12Rh5Tm8,ICSD,618728
C12Rh5Y8,ICSD,618734
C130H84Si5,COD,4109185
C132H52CuN4,COD,4316521
C132H84N4Ni,COD,7150021
C133H210Cl6N6O24,COD,1100187
C133H248N18O42,COD,7151824
C134H34AgN4,COD,7103507
C136H164N4O21,COD,4023569
C136H170O27Si6Te6,COD,4302570
C138Mo96N12O328P11,COD,4300074
C13Ce13Cl8,ICSD,420776
C13Cl3,ICSD,249729
C13Co2O13Ru2,ICSD,49693
C13Co4GeO13,ICSD,10075
C13Co6O12S2,ICSD,200738
C13Co6O12Se2,ICSD,80093
C13Cr2F5N3O10S,ICSD,404492
C13F17N,COD,2204920
C13F7,COD,2216703
C13Fe10Gd13,ICSD,424137
C13Fe4O12S2,ICSD,23335
C13Fe4O12S4,ICSD,261928
C13H10,COD,1508821
C13H10Br2N2,COD,2101796
C13H10Br2N2O,COD,2208497
C13H10Br2N2S,COD,2212321
C13H10Br2O2,COD,2205140
C13H10Br2O4S2,COD,2003743
C13H10BrF2PS,COD,2005124
C13H10BrN3O,COD,2102980
C13H10BrN3O2,COD,2216711
C13H10BrN5O8,COD,2215524
C13H10BrN6O3Re,COD,2012241
C13H10BrNO,COD,2210441
C13H10BrNO2,COD,2223546
C13H10BrNO4S,COD,2221808
C13H10CdCl2N6,COD,2230205
C13H10Cl2N2O,COD,2218262
C13H10Cl2N2O5,COD,2210714
C13H10Cl2N2OS,COD,2204053
C13H10Cl2N2OZn,COD,2218569
C13H10Cl2N2PdS,COD,2213660
C13H10Cl2N2PtS,COD,2217396
C13H10Cl2N2S,COD,2214956
C13H10Cl2N4O4,COD,2015247
C13H10Cl2NO3,COD,2011542
C13H10Cl2O,COD,2210044
C13H10Cl2O2,COD,2217526
C13H10Cl2O3,COD,2203249
C13H10Cl2O3S,COD,2202774
C13H10Cl3N3O6S,COD,2217591
C13H10ClFN2O2,COD,2008456
C13H10ClN3,COD,8102726
C13H10ClN3O,COD,2102978
C13H10ClN3O2,COD,2210271
C13H10ClN3OS,COD,2219154
C13H10ClN5O2,COD,2205172
C13H10ClNO,COD,2011344
C13H10ClNO2,COD,2003836
C13H10ClNO3,COD,2207728
C13H10ClNO3S,COD,2224375
C13H10ClNO4S,COD,2221367
C13H10CrO5,COD,2004657
C13H10CrO5S,COD,1100299
C13H10F3N3O2,COD,2225375
C13H10F3N3O5,COD,2220220
C13H10F3NO2,COD,2007054
C13H10F3NO2S,COD,2219742
C13H10F7O2,COD,4000088
C13H10FN3O,COD,2204629
C13H10FNO,COD,2003669
C13H10FNO2,COD,2221722
C13H10FNO3,COD,2210147
C13H10FeO,COD,4062890
C13H10I2,COD,8102664
C13H10I2O4S2,COD,2004942
C13H10IN3,COD,4101601
C13H10IN3O2,COD,2013209
C13H10INO,COD,2006233
C13H10KO,COD,7104107
C13H10Mg,COD,4062070
C13H10MoS5,COD,4319149
C13H10N,COD,2220203
C13H10N2,COD,4026261
C13H10N2O,COD,7100497
C13H10N2O2,COD,2102600
C13H10N2O3,COD,2009018
C13H10N2O4,COD,2227378
C13H10N2O5,COD,1100675
C13H10N2O6,COD,2014638
C13H10N2O7S,COD,2202021
C13H10N2O8,COD,2201717
C13H10N2S,COD,2219771
C13H10N2S2,COD,2212246
C13H10N3,COD,2202849
C13H10N3O2,COD,2220618
C13H10N3P,COD,4320231
C13H10N3S,COD,2224170
C13H10N4,COD,2204701
C13H10N4O,COD,4021059
C13H10N4O2S3,COD,2222840
C13H10N4O3,COD,2015201
C13H10N4O3S,COD,2003946
C13H10N4O4,COD,2012221
C13H10N4O5,COD,7050693
C13H10N4O8,COD,2010242
C13H10N4OS,COD,2218945
C13H10N4S,COD,4020380
C13H10N5,COD,4504944
C13H10N6O2,COD,2210915
C13H10N8,COD,2201628
C13H10NO,COD,2215916
C13H10NO3,COD,7200225
C13H10NO4,COD,4024166
C13H10NS,COD,2011266
C13H10O,COD,2222951
C13H10O2,COD,7024388
C13H10O2S3,COD,2216399
C13H10O3,COD,2005722
C13H10O3S4,COD,7051695
C13H10O4,COD,4027980
C13H10O4S2,COD,4024839
C13H10O5,COD,2202274
C13H10OS,COD,2300318
C13H10OS2,COD,2219399
C13H10S2Te,COD,2229294
C13H10S4,COD,2200625
C13H11,COD,4026673
C13H11BBrFO3,COD,2208512
C13H11BF2O3,COD,2223595
C13H11BO2,COD,2208269
C13H11Br2CuN3O4,COD,2215127
C13H11Br2NO4,COD,2006627
C13H11Br3,COD,2201839
C13H11BrN2O,COD,2202378
C13H11BrN2O2,COD,2214951
C13H11BrN2O3S,COD,2223395
C13H11BrO2,COD,2223177
C13H11BrO3S,COD,2206372
C13H11BrO5,COD,8100785
C13H11Cl2N,COD,2212929
C13H11Cl2N3O2,COD,2223590
C13H11Cl2N3O3,COD,2210786
C13H11Cl2NO2S,COD,2221520
C13H11Cl2NO3,COD,2224114
C13H11Cl3N2PtS,COD,2214091
C13H11ClCuN2O4,COD,2200565
C13H11ClF3NO2,COD,2222084
C13H11ClN2O,COD,2214070
C13H11ClN2O2,COD,2210738
C13H11ClN2O3S,COD,2220541
C13H11ClN4NiS,COD,2009136
C13H11ClN4O3,COD,2218857
C13H11ClN4O5,COD,2223472
C13H11ClNO3,COD,2011541
C13H11ClO,COD,2224585
C13H11ClO2,COD,2228106
C13H11ClO3S,COD,2202773
C13H11ClO4,COD,2200799
C13H11Co2N2O9,COD,2012990
C13H11CuN2O2,COD,2230096
C13H11CuN3O6,COD,2219056
C13H11CuNO2,COD,2213464
C13H11CuNO4,COD,2012127
C13H11F,COD,4323634
C13H11F15N4O3,COD,4022012
C13H11F6NO2Pd,COD,2204983
C13H11FO4,COD,2227773
C13H11FeN2O9,COD,2219554
C13H11FeNO,COD,2214603
C13H11FeO2,COD,8100605
C13H11IN2O,COD,2220653
C13H11IN2O2,COD,2012882
C13H11IN2O4S,COD,2103231
C13H11IO3,COD,2004712
C13H11N,COD,4020556
C13H11N14Zn2,COD,7201605
C13H11N2,COD,4504534
C13H11N2O,COD,2001792
C13H11N2O2,COD,4022835
C13H11N2O3,COD,2012265
C13H11N2O5S,COD,2000086
C13H11N2O7,COD,2205093
C13H11N2S,COD,2221729
C13H11N3,COD,7220305
C13H11N3O,COD,2102577
C13H11N3O2,COD,2216415
C13H11N3O2Os,COD,4062309
C13H11N3O2S,COD,2204710
C13H11N3O3,COD,2210541
C13H11N3O3S,COD,2202251
C13H11N3O3S2,COD,2003666
C13H11N3O4,COD,2226380
C13H11N3O5,COD,7204796
C13H11N3O5S,COD,2219066
C13H11N3O7,COD,2200998
C13H11N3O8S2,COD,2219689
C13H11N3OS,COD,2210023
C13H11N3OS2,COD,2203925
C13H11N3S,COD,2222586
C13H11N5,COD,2226117
C13H11N5O,COD,2216299
C13H11N5O2,COD,2210072
C13H11N5O3,COD,7052349
C13H11N5O6,COD,2015203
