# Outliers,Original Index,Temperature (K),Electrical Resistivity (Ohm m),Seebeck Coefficient (V/K),Thermal Conductivity (W/(m K)),Figure of Merit,Thermopower (V/K),Thermal Conductivity x Figure of Merit (W/m K),Power Factor (W/(K^2 m)),Formula,Series,Series Index,Family,Electrical Conductivity (S/m),Preparative Route,Final Form,Authors,DOI,Comments,Cell Volume (A^3),Formula Units per Cell,Atoms per Formula Unit,Total Atoms Per Unit Cell,Average Atomic Volume,Author of Unit Cell,Unit Cell DOI,ICSD ID,Electronic over Total Thermal Conductivity,Space Group,Number of Symmetry Elements
outliers,orig_index,T,rho,seebeck,kappa,zT,seebeck_abs,kappa_zT,power_factor,formula,series,x,family,sigma,preparative_route,final_form,authors,doi,comments,cell_volume,formula_units_per_cell,atoms_per_formula_unit,total_atoms_per_unit_cell,average_atomic_volume,author_of_unit_cell,unit_cell_doi,icsd_id,kel/ktot,space_group,symmetry_elements
,14,700,0.0001702594243,-0.000127428,,,0.000127428,0.06676004384,0.00009537149119,Ca0.94La0.06MnO3,Ca1-xLaxMnO3,0.06,CaMnO3,5873.39,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,209.24,4,5,20,10.462,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82208,,62,8
,15,1000,0.0001883970052,-0.000135752,,,0.000135752,0.0978179323,0.0000978179323,Ca0.94La0.06MnO3,Ca1-xLaxMnO3,0.06,CaMnO3,5307.94,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,209.24,4,5,20,10.462,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82208,,62,8
,16,300,0.00009966115208,-0.0000832444,,,0.0000832444,0.02085957262,0.00006953190874,Ca0.92La0.08MnO3,Ca1-xLaxMnO3,0.08,CaMnO3,10034,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,209.93,4,5,20,10.4965,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82207,,62,8
,17,400,0.00009966115208,-0.0000832444,,,0.0000832444,0.0278127635,0.00006953190874,Ca0.92La0.08MnO3,Ca1-xLaxMnO3,0.08,CaMnO3,10034,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,209.93,4,5,20,10.4965,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82207,,62,8
,18,700,0.0001363220581,-0.000118463,,,0.000118463,0.07206051458,0.0001029435923,Ca0.92La0.08MnO3,Ca1-xLaxMnO3,0.08,CaMnO3,7335.57,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,209.93,4,5,20,10.4965,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82207,,62,8
,19,1000,0.0001570662537,-0.000140875,,,0.000140875,0.1263528298,0.0001263528298,Ca0.92La0.08MnO3,Ca1-xLaxMnO3,0.08,CaMnO3,6366.74,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,209.93,4,5,20,10.4965,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82207,,62,8
,20,700,1.529285824,0.000483473,,,0.000483473,0.0001069926215,0.0000001528466021,NiO,LixNi1-xO,0,NiO,0.6539,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,,225,192
,21,1000,0.1464759355,0.000642619,,,0.000642619,0.002819297094,0.000002819297094,NiO,LixNi1-xO,0,NiO,6.82706,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,,225,192
,22,400,0.2886769359,0.00029497,16.1715,0.000007455096952,0.00029497,0.0001205601004,0.0000003014002509,Li0.0024Ni0.9976O,LixNi1-xO,0.0024,NiO,3.46408,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,Data at 460 K,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,0.000002090679331,225,192
,23,700,0.002628873974,0.00024975,11.391,0.001458066779,0.00024975,0.01660883868,0.0000237269124,Li0.0024Ni0.9976O,LixNi1-xO,0.0024,NiO,380.391,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,0.000570369439,225,192
