material_id,formula,icsd_ids
mp-10326,Zn(ReO4)2,[51017]
mp-10336,BaYCuTe3,[88716]
mp-10342,Tm6ReO12,[88796]
mp-10344,Ba2PrNbO6,[88838]
mp-10366,Nb2Co3Si,[53018]
mp-1037,PrPt5,"[108685, 649194]"
mp-10374,Cr3PtN,[53142]
mp-10379,Hf3(Cu2Ge)2,[53269]
mp-10381,K2CuSb,[53298]
mp-10382,KEuPSe4,[280200]
mp-10392,Sr3CdPtO6,[280518]
mp-10398,HoNi4B,[409500]
mp-1040,RbCd13,"[620302, 620301, 415888]"
mp-10401,Tl2SnF6,[410801]
mp-10402,TiTl2F6,[410802]
mp-10405,Yb(AlSi)2,[411054]
mp-10417,KSbO2,[411214]
mp-10418,RbSbO2,[411216]
mp-10430,Nb5(NiP)4,"[645087, 89478]"
mp-10434,K2UTe3,[89546]
mp-1044,UIr3,"[104588, 104587, 641145]"
mp-10442,Eu(Cu2As)2,[89627]
mp-10445,Sc6FeTe2,[90081]
mp-10446,Sc6NiTe2,[90082]
mp-1045,Nd2O3,"[191535, 645662, 96204, 645664, 645657, 184534]"
mp-10450,PrAlGe,[90160]
mp-10457,HfSiPd,"[638775, 90279]"
mp-1046,NbSn2,"[106552, 645495, 105229]"
mp-10461,NaSr3SbO6,[51259]
mp-10470,NbSiRh,[90434]
mp-10476,NaEr(SO4)2,[90775]
mp-10477,RbAg3Se2,[90795]
mp-10478,CeAsRh,[90869]
mp-10480,CsAg5Se3,[90871]
mp-10481,RbAg3Te2,[90872]
mp-10485,BaLiSb,[280574]
mp-10488,Cs2Ti(AgS2)2,[280645]
mp-1049,SrAs,"[26264, 83353]"
mp-10495,NdCuS2,"[628521, 415079, 51405, 628520]"
mp-11550,Sc2Pt,[105785]
mp-11557,ScRe2,"[105890, 650085]"
mp-11560,TiSiRu,"[105924, 52090]"
mp-11569,SmTl3,[106064]
mp-1157,TaNi2,"[105389, 105388, 646831]"
mp-11575,YTl,[106195]
mp-11576,YbTl,[106197]
mp-11578,VZn3,[106240]
mp-11580,TiCrP,[96721]
mp-11584,Lu8Te,[97006]
mp-11597,NdBPt3,[97371]
mp-11605,KTb2CuS4,[97560]
mp-11621,ZnNiSb,[240198]
mp-11628,Tb2Al6Si4Pt,[]
mp-11630,Dy2Al6Si4Pt,[]
mp-11634,KSmGeSe4,[281682]
mp-11641,Ag2SeO4,[413089]
mp-11649,Ca3SiO,[]
mp-11651,Yb3SnO,[413388]
mp-11652,Yb3PbO,[413389]
mp-11665,Ce2(Zn2Ge)3,[98233]
mp-11666,Pr2(Zn2Ge)3,[98234]
mp-11667,Nd2(Zn2Ge)3,[98235]
mp-11668,Sm2(Zn2Ge)3,[98236]
mp-11673,Sc2(SeO4)3,[1729]
mp-11677,Sr3(SiAs2)2,[16453]
mp-1168,HfTe5,"[15051, 657474, 85508, 638961, 85509]"
mp-11687,VTe2,[38369]
mp-11691,Nd2HgO4,[41121]
mp-11692,Ba3(SiAs2)2,[41183]
mp-11693,TePt,"[41383, 41370]"
mp-11696,As3W2,[43185]
mp-11697,TaSb2,"[52311, 651600]"
mp-11700,BaCuSb,[57020]
mp-11701,YbCuSb,[57021]
mp-11705,Dy2Fe2Si2C,[67467]
mp-11719,K4ZnP2,[67261]
mp-11723,ErNiC2,"[617680, 617675, 80487]"
mp-11726,LaSi4Ni9,[98409]
mp-11733,Lu3InN,[98508]
mp-11737,Li4SiO4,[98615]
mp-11739,KLaTe2,[98654]
mp-1174,MgSc,"[108583, 161737]"
mp-11740,KNdTe2,[98656]
mp-11743,LiYGa4,[98666]
mp-11749,Tm5(SiSb)2,[98943]
mp-11750,Ti6Si2B,"[181164, 98945]"
mp-11752,Lu7(NiTe)2,[98969]
mp-11754,Sc6Te2Os,[98972]
mp-11765,Ti5Se4,[55075]
mp-11775,RbUO3,[99548]
mp-11790,LaCuSe2,"[628252, 99675, 628251]"
mp-11792,PrCuSe2,"[628726, 99677, 628725]"
mp-11793,SmCuSe2,"[99679, 629081, 629080]"
mp-1180,MnPt3,"[643372, 108591, 104951]"
mp-11806,LiMgSnPt,[104749]
mp-11807,LiPt,[104777]
mp-11819,BaSnHg,[106311]
mp-1182,DySi,"[165437, 165433, 630307, 164012, 165438, 180230, 165435, 164016, 180217, 180226, 180218, 180215, 165434, 164018, 164014, 165436, 180216, 630282, 180220, 180227, 180228, 180219, 180229, 165432]"
mp-11820,BaNa2,[106313]
mp-11822,Ca3GeN,[106342]
mp-11824,Ca3PN,[106350]
mp-11826,CaPd5,[106357]
mp-11831,YbZnSn,[106444]
mp-11839,GdSbPt,[57318]
mp-1184,La2C3,"[601151, 618149, 602770, 153809, 26588, 618154, 618165, 74660, 153808]"
mp-11840,BaAg,"[260623, 57342]"
mp-11844,Ho6GaCo2,[102434]
mp-11851,ErCoSn,[106463]
mp-11854,Er5Ge3,"[106605, 630608, 630599, 630593]"
mp-11859,La(SiAu)2,[106686]
mp-1186,ZrS2,"[56012, 604434, 651478, 651465, 601166, 182675, 76037, 602309, 651482]"
mp-11871,HoNi,"[639469, 106792, 639450]"
mp-11873,TlAsPd5,[23540]
mp-11879,BaNiSn3,[58662]
mp-11887,K2U3(TeO7)2,[414064]
mp-1189,PrAl2,"[99141, 609077, 609072, 58125, 150504, 609078, 609094, 609082, 609075, 609080, 609071, 609081, 609097, 609099, 609085]"
mp-11892,NaNd2RuO6,[413922]
mp-11902,Ba2GeSe4,[414166]
mp-11903,LiEu2IrO6,[414152]
mp-11904,LiSm2IrO6,[414151]
mp-11905,LiNd2IrO6,[414150]
mp-11906,LiPr2IrO6,[414149]
mp-11908,Lu5Si3,"[604310, 642608, 414146, 658907]"
mp-11913,NaPr2IrO6,[413635]
mp-11914,NaLa2IrO6,[413634]
mp-11917,Mg(BeN)2,[413358]
mp-11918,Ca(BeN)2,[413357]
mp-11919,Sr(BeN)2,[413356]
mp-11923,Rb2TaCuS4,[414271]
mp-11924,Rb2TaCuSe4,[414272]
mp-1194,CdPt,"[620295, 102053, 620296, 620297, 102052, 620293]"
mp-11945,SmAl4Ni,[409776]
mp-1195,Ba3P14,"[23629, 653664]"
mp-11952,KHg11,[410566]
mp-11953,RbHg11,[410567]
mp-11958,CaSn2Pd,[410774]
mp-11959,CaSn2Rh,[410775]
mp-11965,Ce2CdPd2,[411010]
mp-11971,HoSnRh,"[639638, 411821]"
mp-11973,YbSnRh,"[411823, 650407]"
mp-11974,TmSnRh,"[411824, 650399]"
mp-11977,LiSnAu,[412208]
mp-11980,CsNbF6,"[183851, 412444]"
mp-11982,Sr2CaTeO6,[414435]
mp-11984,YMgTl,[414438]
mp-11985,LaMgTl,[414439]
mp-11987,SmMgTl,[414441]
mp-1199,HoMg,"[639379, 161749, 104418, 104417, 639384]"
mp-11990,Pr2CdNi2,[414596]
mp-11991,Nd2CdNi2,[414597]
mp-11992,LiLa2IrO6,[414605]
mp-12003,Al9Ir2,"[608238, 414302]"
mp-12004,Er2Al3Si2,[415148]
mp-12005,Tm2Al3Si2,[415150]
mp-12010,BaSeO4,[409810]
mp-12012,KPrGeSe4,[409812]
mp-12017,CeAl4Ge2Au,[]
mp-12018,NdAl4Ge2Au,[]
mp-12024,RbVSe2,[415479]
mp-12029,Li2CuP,[240250]
mp-12039,Gd2Mo2C3,[409822]
mp-12056,Ba(POs)2,[602106]
mp-12060,Nd(AsPd)2,[604337]
mp-12063,Ce(AgGe)2,"[246609, 604945]"
mp-12073,Ba(BIr)2,[612532]
mp-1208,ErAl2,"[57764, 607349, 607354, 607348, 607362, 607372, 607357, 607358, 607366, 607360, 607361, 150946, 607368, 607375, 607365, 607350]"
mp-12083,CrIr3,[626213]
mp-12086,Cu3Pt,[628749]
mp-12088,Dy(SiOs)2,[630053]
mp-1209,RbAu5,"[612281, 106289]"
mp-12098,K(PRh)2,[641292]
mp-12101,Lu(SiOs)2,[642482]
mp-12109,ZrRe2,"[650208, 650212, 650217, 650206, 650209]"
mp-1211,ScCd,"[102061, 620407]"
mp-1346,B6O,"[71066, 656230, 82879, 71065, 656231, 615112]"
mp-13466,Sm(SiAu)2,[52675]
mp-13467,Ce(GePd)2,"[621242, 52862]"
mp-13472,HfSiRh,"[638834, 68790]"
mp-13474,LiErGe,[76287]
mp-13475,CeSi2Ir3,[79221]
mp-13478,SmCoSi2,"[625036, 85843]"
mp-13483,PrBPt4,[55454]
mp-13490,ErAl3Ni2,[55529]
mp-13501,ErCoC2,"[55571, 617400]"
mp-13502,TmCoC2,"[55572, 617458]"
mp-13503,ScZn2,[55576]
mp-13504,CeAl4Co,"[164542, 55598, 606401, 164539, 164540, 164541]"
mp-13508,Er4In(NiGe2)2,[240334]
mp-13510,Ho4In(NiGe2)2,[240336]
mp-13511,Tm4In(NiGe2)2,[240337]
mp-13512,CaNiGe2,[240342]
mp-13513,SrNiGe2,[240343]
mp-13514,NdBO3,[240380]
mp-13520,Na2ZnGe,[240728]
mp-13525,HoInIr,[414477]
mp-13534,LaZnNi,"[416819, 656581]"
mp-13535,Tb2ZnNi2,[416820]
mp-13536,TbZnNi,[416821]
mp-13541,Sr2Mg(BO3)2,[240897]
mp-13542,ZrGeTe4,[240906]
mp-13545,BaIrF6,[]
mp-13549,CeZnAu,[418712]
mp-1356,Sb2Pd,"[77109, 42751, 648765, 648769, 648773, 43102]"
mp-13568,NdS2,[419345]
mp-1357,P3Rh,"[647995, 647999, 43724, 23712]"
mp-13570,Mg(ScGa)2,[260213]
mp-13573,Sc5Si7Pt9,[420356]
mp-13576,EuAsO4,[409995]
mp-13579,ErGePt,"[420231, 630642]"
mp-13580,LuGePt,[420232]
mp-1359,NbIr,"[640846, 104509, 640836, 104510, 640829]"
mp-13595,Rb2UF6,[14116]
mp-13602,Cd3(AsO4)2,[14257]
mp-1361,IrSe2,"[16728, 640985, 654007, 80569]"
mp-13610,ZnPbF6,[15107]
mp-13619,ScSi7Rh3,[15243]
mp-13620,ScSi7Ir3,[15244]
mp-13627,Y3ReO8,[15505]
mp-1363,Na2Au,"[612180, 58527]"
mp-13634,Cs2LiAl3F12,[15785]
mp-1364,YNi,"[647049, 653589, 105456, 647106, 105457]"
mp-13660,Ca4Sb2O,[16353]
mp-13666,Ti(PS3)2,[16403]
mp-13673,NaSiAu3,[16462]
mp-13674,NaGeAu3,[16463]
mp-13676,TlPO4,[16619]
mp-13679,PdF3,[16675]
mp-1368,Zn8Cu5,"[164481, 108419, 629453, 103158, 240667, 2092]"
mp-13682,PdS2,"[648753, 166276, 16694, 648747]"
mp-13686,Nb5Si3,"[423763, 645429, 16774, 645441, 601660]"
mp-13687,Cs2KAgF6,[16783]
mp-13688,Ge2Mo,[16822]
mp-13694,PrCuO2,"[246822, 18103]"
mp-13695,SmCuO2,[18105]
mp-13696,EuCuO2,[18106]
mp-13703,Al4CO4,[18204]
mp-1372,Cd3As2,"[609923, 107918, 609930, 23245]"
mp-13738,CsCd(PO3)3,[1221]
mp-13743,K3GaO3,[2269]
mp-13744,Rb3GaO3,[2270]
mp-1377,ThCu2,"[103124, 629358, 629363, 15442]"
mp-13772,Li3Pr2(BO3)3,[20217]
mp-13775,Gd2Si2O7,[20316]
mp-1380,Zn3Ru,"[155990, 416747, 249448]"
mp-13801,Tl2Pt2O7,[22215]
mp-13816,Cs2NaErF6,[23143]
mp-13820,Cd3SiO5,[23170]
mp-13829,TlCu3S2,[23290]
mp-13840,Ho3ScO6,[23480]
mp-13853,P3Ir,"[640899, 23713]"
mp-1386,HoPb3,"[104431, 639549]"
mp-13861,HfB4Ir3,"[1518, 614432]"
mp-13871,P2Pt5,[24327]
mp-13897,K3UF7,[24726]
mp-13900,Sr(CuO)2,[25002]
mp-13903,ZnSnF6,[25012]
mp-13907,CdSnF6,[25017]
mp-1391,Ag2F,"[68443, 68437, 68439, 56165, 68441, 68440, 28280, 68442, 68436, 68444, 68438]"
mp-13910,Ba(AgGe)2,[25318]
mp-13917,LiCaGe2,[25328]
mp-13918,Sr(GeAu)2,[25334]
mp-13920,Ba(ZnSn)2,[25339]
mp-13922,Ba2Ge,[25351]
mp-13925,Cs2NaYF6,[25368]
mp-13946,Rb2ZrF6,[25597]
mp-13947,Rb2HfF6,[25599]
mp-1395,VRu,"[650759, 106013, 106012, 106010, 106011]"
mp-13962,HfSiSe,[25736]
mp-13963,HfSiTe,[25737]
mp-13964,HfGeTe,[25743]
mp-13967,Nb5(CuSi)4,[25756]
mp-13971,Nd2SeO2,[25806]
mp-13972,Sm2SeO2,[25807]
mp-13979,Ca2Nb2O7,[26010]
mp-13983,ZnPdF6,[26165]
mp-13984,CdPdF6,[26166]
mp-1399,AlAu,"[104649, 57494]"
mp-13992,Cs2Pt3S4,[26266]
mp-13995,Hg2GeO4,[26340]
mp-13997,RbAlF4,[26389]
mp-14006,BaGeF6,[26614]
mp-14015,HoMn12,"[26825, 639388]"
mp-14025,Zr2CuS4,[27027]
mp-1403,Sm2S3,"[650930, 81360, 72821, 650927]"
mp-1407,Rh3Se8,"[26810, 52071, 650290, 650291, 41737, 650285]"
mp-1408,MgHg,"[639081, 639094, 104313, 104314]"
mp-1409,TiNi3,"[646970, 654755, 646960, 30216, 646944, 604460, 646949]"
mp-14090,TlCuSe2,[28743]
mp-14100,Cd(RhO2)2,"[28954, 262941]"
mp-14125,Ho2(Ga3Co)3,[20952]
mp-14128,K2HfF6,[29514]
mp-14132,Lu3Al5O12,"[182354, 23846]"
mp-14152,SmNbO4,[20407]
mp-14205,K3Cu3As2,[32015]
mp-14206,K3Ag3As2,[32016]
mp-14207,Ba(ZnSb)2,[32020]
mp-14209,LiYGe,[]
mp-14210,LiGdGe,[]
mp-16097,CeSc3(BO3)4,[90839]
mp-16116,RbSm2CuSe4,[91090]
mp-16124,BaPr2MnS5,[91229]
mp-16137,K4CaU3O12,"[425122, 91783]"
mp-16159,Pr4Si2S3O7,[92471]
mp-16163,Pr3ReO8,[92508]
mp-16164,Dy3Si3O10F,[92510]
mp-1618,PPd6,"[26898, 26902]"
mp-16180,Na6S2O9,[411442]
mp-16183,Tl2B2Se7,[411468]
mp-16184,Rb2B2Se7,[411469]
mp-16189,Tm4Zn5Ge6,[411619]
mp-1619,Ba3Si4,"[194844, 419308, 42828]"
mp-16190,Lu4Zn5Ge6,[411620]
mp-16209,K3La(PS4)2,[279618]
mp-16225,Y3Si3Rh,[52079]
mp-16230,Tb5Sb3,"[601791, 601389, 182207, 182208, 52314, 651603, 182204, 182203, 651613, 182205, 182209, 182206]"
mp-16234,CsAg3Se2,[52558]
mp-16236,KAgSe,[52586]
mp-16237,La(SiAg)2,[52587]
mp-16245,CaSbAu,[52662]
mp-16250,Th(SiAu)2,[52676]
mp-16251,Yb(SiAu)2,[52678]
mp-16252,BaCaGe,[52681]
mp-16253,BaCaSi,[52682]
mp-16254,BaCuP,[52684]
mp-16259,Ca(GeIr)2,[52755]
mp-16261,Ca(GeRh)2,[52760]
mp-16263,CaZnGe,[52772]
mp-16266,CaZnSi,[52791]
mp-16267,Dy2CdS4,[52798]
mp-16272,Ce(FeP3)4,"[52852, 621050]"
mp-16280,Ca2Sb2O7,"[77063, 166282, 261535]"
mp-16291,NaZr2PdF11,"[65180, 77241]"
mp-16297,Sc3SnC,[77397]
mp-16305,ScPRu,[77790]
mp-16318,RbTiS2,[77990]
mp-16321,SrCuP,[53323]
mp-16326,DyPPt,[53373]
mp-16334,Fe3PdN,[53506]
mp-16336,Zr2Fe3Si,[53558]
mp-16340,GdPPt,[53623]
mp-16342,HoGe,"[53647, 636602, 636608, 636627]"
mp-16343,LiInGe,[53650]
mp-1635,TbMg,"[642870, 642869, 104880, 161747, 104879, 642875]"
mp-16356,TiNiGe,[53862]
mp-16377,Ho(SiPt)2,[56238]
mp-16380,Nd2Te3,"[646003, 646016, 280889]"
mp-1640,Ho2C,"[56803, 56804, 77029]"
mp-16403,SnHgP14,[412437]
mp-16430,Pr(FeP3)4,"[633075, 93363]"
mp-16431,Nd(FeP3)4,"[93364, 632859]"
mp-16432,Sr3(BO3)2,[93395]
mp-16445,CsSm2CuSe4,[93681]
mp-1645,Al9Rh2,"[414304, 58154]"
mp-16452,BaLa2ZnS5,[93711]
mp-16471,Np(GeRh)2,[57111]
mp-16475,Sr11Sb10,"[57166, 659275]"
mp-16478,Tb2Si5Ru3,[57487]
mp-1648,Al12Re,"[58150, 109107]"
mp-16480,Al3Au8,[57502]
mp-16483,BaAl9Fe2,[57518]
mp-16488,Al9Co2,[57598]
mp-16490,Lu2Al3Co,[57617]
mp-16493,YAl2Co,[57645]
mp-16502,Ho2Al,[57910]
mp-16503,HoAl2Ni,"[57919, 608204]"
mp-16504,HoAl4Ni,"[608203, 57920]"
mp-16506,Li3Al2,[57951]
mp-16507,LuAl,[57957]
mp-16508,Lu3Al2,[57959]
mp-16509,LuAl4Ni,"[57961, 608386]"
mp-16516,TbAl2Ni,"[58059, 608885]"
mp-16517,TmAl2Ni,"[608918, 58067]"
mp-16518,TmAl4Ni,"[608917, 58068]"
mp-16520,NpAl4,"[164913, 58088]"
mp-16523,Al3Pd5,[58118]
mp-16529,Al6Ru,[58157]
mp-16544,Mg4As6Ir7,[94393]
mp-16559,KHo2CuSe4,[95028]
mp-16560,KEr2CuSe4,[95029]
mp-1657,UAs2,"[107523, 66765, 611529, 44081]"
mp-1658,Tl2O3,"[193329, 647576, 27988, 33660, 26813, 74090, 413878, 647575]"
mp-1660,ErZn,"[103316, 631214, 103317]"
mp-16605,Sr2TmTaO6,[95524]
mp-16608,Si3Os2,"[95590, 647772, 647782]"
mp-16620,LuAl7Au3,[391105]
mp-16621,HoAl7Au3,[391106]
mp-16622,NdAl7Au3,[391107]
mp-16624,ErAl7Au3,[391109]
mp-16625,YbAl7Au3,[391110]
mp-16626,SmAl7Au3,[391111]
mp-16638,Nd2MgCu2,[411710]
mp-1823,Ti3Al,"[99779, 58188, 609538, 609523, 181338]"
mp-1827,SrGa4,"[635459, 103973, 170782, 103974]"
mp-1831,SrAu5,"[58598, 612363]"
mp-1837,TbCu,"[629314, 103116, 629318, 103115, 629315, 629319]"
mp-1841,SiIr3,"[43680, 54975]"
mp-1853,Sr3P14,"[648173, 42461]"
mp-1857,YbCd,"[620600, 102088, 620602]"
mp-2026,PrTl3,"[108700, 649448]"
mp-2030,RuS2,"[600680, 68472, 650577, 650581, 650579, 604472, 52374, 657507, 24186, 56019, 41996]"
mp-2039,ScMn2,"[109246, 638314, 643548, 108596]"
mp-204,CeFe2,"[621014, 657903, 621003, 106386, 621013, 621005, 620992, 620998, 621008, 620989, 621004, 621018, 620994, 621006, 621009, 621001, 621017, 621015, 620997, 621012, 102146]"
mp-2042,HoNi3,"[639446, 639455, 154593, 154592]"
mp-2147,SrGe,"[43099, 52703, 659802]"
mp-216,Sc2O3,"[202905, 647392, 647398, 184529, 169172, 647397, 24200, 27948, 41264, 26841, 33646, 186676, 26942]"
mp-2160,Sb2Se3,"[194836, 194837, 16680, 651516, 651519, 651518, 651521, 651515, 171569, 85676, 30973]"
mp-2163,HoRh,"[104446, 639620, 104445]"
mp-2165,SmZn,"[106066, 652700]"
mp-2170,Li2Pt,"[104780, 642278]"
mp-2178,YbGa2,"[635675, 107552, 107581, 635670, 635663, 104035]"
mp-2180,HfSb2,"[638875, 66780, 42879]"
mp-21839,Ba4Ge20Au3,"[181524, 57037]"
mp-2303,DyZn,"[630369, 103380, 630388, 630385, 103381, 103379, 630374]"
mp-2313,MgIn,"[51972, 639937]"
mp-2315,NaB15,[18319]
mp-2316,TmZn,"[653366, 653355, 106203]"
mp-232,DyRh,"[103359, 630152, 630145, 103360]"
mp-2473,Re3As7,"[25787, 611260, 611257, 26270]"
mp-2475,SmAg,"[604546, 605855, 58350]"
mp-2481,Mg2Cu,"[174182, 659334, 174176, 174173, 103047, 174184, 174170, 174180]"
mp-2497,GdZn,"[104148, 636521, 104149, 636498, 636515, 636523, 636518, 636520]"
mp-2500,AlCu,"[40332, 653749]"
mp-2502,TmCd,"[620577, 620576, 102078]"
mp-2503,Pd7Se4,"[648822, 77897, 90788]"
mp-2509,ThRh3,"[650460, 105950, 105949, 650470, 650468]"
mp-2510,ZrHg,"[639318, 104374]"
mp-2513,As2Pt,"[24203, 611230, 611228, 43104, 38428, 52375, 24156, 56021]"
mp-2514,Mg3P2,"[642724, 642725, 26875]"
mp-2515,CrPt3,"[626546, 102834]"
mp-2516,YZn,"[653454, 653468, 653455, 106226, 653460, 653464]"
mp-2522,LuHg,"[639078, 104312]"
mp-2523,PuPt3,"[105774, 649503, 105775]"
mp-25305,Y2Ti2S2O5,[]
mp-2531,Er2Co17,"[602661, 622742, 622729, 622735, 622718, 622723, 602660, 622770, 622755, 622721]"
mp-2538,Y5Si3,"[656501, 652568, 43692, 658903, 415741, 604311, 602005, 652577, 652574]"
mp-2541,SmTl,"[652690, 106062]"
mp-2544,Zr2Be17,"[616514, 58759]"
mp-2545,YbHg,"[639303, 104370]"
mp-2547,YbPd,"[105747, 105748, 649126]"
mp-255,NaHg,"[33900, 104326]"
mp-2550,NdTe2,"[646009, 646021, 20313]"
mp-2775,SrAl4,"[609418, 609408, 601447, 107887]"
mp-27779,Hg(Mo3Cl7)2,[26046]
mp-2778,HoAg,"[605352, 104474, 605351, 58277]"
mp-2781,ScPd,"[105672, 648811]"
mp-2789,NO2,"[201140, 201142, 201141, 29047]"
mp-279,LiIr,"[659856, 104487]"
mp-27921,Ti2PCl13,[23138]
mp-2793,AuSe,"[73669, 73700]"
mp-2796,TmAg,"[605946, 605952, 58372]"
mp-2797,YCu5,"[629436, 629432, 103145, 103144]"
mp-2798,SiP,"[87149, 23724]"
mp-10499,LiZr2(PO4)3,[91112]
mp-1050,Ni3S4,"[601828, 36271, 57435]"
mp-10500,Ho5Ni2Sb,[91136]
mp-10502,BaCe2MnS5,[91228]
mp-10516,Dy6FeTe2,[91340]
mp-10527,Y2AlSi2,[92450]
mp-10528,Ho2AlSi2,[92451]
mp-10529,Er2AlSi2,[92452]
mp-1053,NdZn,"[105300, 646069, 105299, 646063, 601783, 646083]"
mp-10530,Tm2AlSi2,[92453]
mp-10531,Lu2AlSi2,[92454]
mp-1054,ErTl,"[103310, 631208]"
mp-10543,K3SbO4,[280867]
mp-10547,RbAuO,[409552]
mp-10555,Ba2LiReN4,[411453]
mp-10556,Sr2LiReN4,[411454]
mp-10559,Gd3AuO6,[411500]
mp-1056,Tb2O3,"[33653, 27995, 647494, 184537, 647501, 647509, 40474]"
mp-10560,Sm3AuO6,[411502]
mp-10569,YbSiIr,[411736]
mp-10581,Nd(AlGe)2,[412121]
mp-10582,Ca5P12Rh19,[412128]
mp-10596,FeIr3,[56264]
mp-10598,CuSn,[629278]
mp-10601,Y3GaC,[56396]
mp-10606,Sm3TlC,[56403]
mp-10607,Lu3TlC,[56404]
mp-10609,Lu3SnC,[56407]
mp-10621,RbSbS2,"[56788, 200263]"
mp-10636,SrSb2,[52307]
mp-10651,YbSi,"[652599, 52479]"
mp-10667,SrAgP,[52596]
mp-10668,Yb(SiAg)2,"[52607, 167883]"
mp-10669,Ba3(AlGe)2,[52612]
mp-10670,Ca3(AlGe)2,[52616]
mp-10671,Sr3(AlGe)2,[52617]
mp-10676,Sc2AlSi2,[52653]
mp-10677,CaPAu,[52661]
mp-10697,Sr(GeRh)2,[77145]
mp-10698,Ba(GeRh)2,[77146]
mp-10699,LuRh3C,[77151]
mp-10700,MgNi3C,[77152]
mp-10706,ZrRu3C,[77282]
mp-10712,ScRh3C,[77385]
mp-10714,TmRh3C,[77388]
mp-10716,YbRh3C,[77390]
mp-1073,CaCd,"[619188, 58874]"
mp-10739,TiPRu,[77792]
mp-10746,Mg2Cu3Si,[53304]
mp-10749,SrCuSb,[53339]
mp-1075,SmNi5,"[105351, 646716, 105350, 646713, 646719]"
mp-10755,TiFeSb,[53537]
mp-1076,KB6,"[98990, 98985, 98987, 44427, 166487, 98986, 98988]"
mp-10763,KHgSb,[56201]
mp-1077,B2Ru,"[615356, 421524, 31871, 43317]"
mp-10776,K2Sn(AsS3)2,[281039]
mp-10777,RbCeSe2,[281068]
mp-10778,RbPrSe2,[281069]
mp-10779,RbNdSe2,[281070]
mp-10780,RbSmSe2,[281071]
mp-10781,RbGdSe2,[281072]
mp-10782,RbTbSe2,[281073]
mp-10783,RbHoSe2,[281074]
mp-10784,RbErSe2,[281075]
mp-10785,RbLuSe2,[281076]
mp-10795,TaTlS3,[412385]
mp-10797,CaSiNi2,[412411]
mp-10802,RbAs,"[611253, 412594]"
mp-10809,AgSnF6,[51505]
mp-10814,SrLiBO3,[92842]
mp-1083,NpB2,"[615106, 44537, 615108]"
mp-10834,RbNd2CuS4,[93678]
mp-10835,RbSm2CuS4,[93679]
mp-10837,Na2MgInF7,[93723]
mp-10838,NaYb(PS3)2,[93758]
mp-10847,NiSbSe,"[93902, 646435]"
mp-10848,AsPdS,"[93903, 611197]"
mp-10849,AsPdSe,"[611203, 93904]"
mp-10850,SbTePd,[93906]
mp-10852,La(BC)2,[94035]
mp-10853,Pr(BC)2,[94037]
mp-10854,Tb(BC)2,[94039]
mp-10856,Er(BC)2,[94042]
mp-10866,Np(GePd)2,[57110]
mp-10867,PrPPd,[57159]
mp-10876,Ca3Al7Cu2,[57538]
mp-10909,AlRe2,[58147]
mp-10919,Rb2PtC2,[94395]
mp-1092,HoHg,"[104297, 639034]"
mp-10924,Mg(Co3P2)2,[94412]
mp-10930,TbSF,[94474]
mp-10933,Nd2TeS2,[94478]
mp-10942,KNaLaNbO5,[94743]
mp-10953,Sc2CdS4,"[620332, 94994]"
mp-10961,La5Si3,"[641980, 657898, 641964, 95073, 641952]"
mp-10963,Ag2SnHgSe4,[95094]
mp-10964,CeB2Ir2C,[95098]
mp-10970,LiErO2,[95380]
mp-10973,K2Ga3CuSe6,[281195]
mp-10983,ErVB4,"[613825, 409626]"
mp-1099,NiGe,"[52124, 659794, 76623]"
mp-10991,YCuAs2,[412550]
mp-10992,DyCuAs2,[412552]
mp-10993,ErCuAs2,[412553]
mp-10994,TmCuAs2,[412554]
mp-10996,Yb(MgSb)2,[]
mp-10999,LuGeIr,[412708]
mp-11006,BaPS3,[412764]
mp-11007,CaPSe3,[412765]
mp-11008,BaPSe3,[412768]
mp-12137,Ca(ZnSi)2,[59649]
mp-1215,Ti2O,"[23574, 24081, 99784]"
mp-12160,Li6Ho(BO3)3,[2121]
mp-12170,La2SnS5,"[2312, 641853]"
mp-12177,Te2O5,"[2523, 191342]"
mp-12178,KCr5S8,[2568]
mp-12180,NaS2,"[644957, 2586]"
mp-12181,BaSnS2,[2587]
mp-12199,Hg3(PO4)2,[4273]
mp-12226,NaNd(PO3)4,[401]
mp-1223,La4Sb3,"[641905, 641896, 10441, 641891, 641895]"
mp-12231,SnTe3O8,[9077]
mp-12241,Ca11Sb10,[433]
mp-12244,Cs3TiF7,[9594]
mp-12245,Rb3TiF7,[9595]
mp-12262,CsBeF3,[9870]
mp-12265,SrCuF4,[9927]
mp-12271,MgSeO3,[494]
mp-12274,LaAl4Co,[9986]
mp-12275,SrZnSb2,[10001]
mp-12277,CaAgP,[10016]
mp-12286,Sr2Ta2O7,[601]
mp-1229,CuF2,"[26576, 9789, 9790, 9788, 71833, 6024]"
mp-123,Nd,"[645581, 645585, 76592, 102657, 645584, 43577, 164281, 645579, 645577, 150953]"
mp-12304,Sc11Ir4,"[658000, 10438]"
mp-12305,Sc11Os4,[10439]
mp-12307,Tl2Ge2S5,[640]
mp-12309,Cs2NaAl3F12,"[646, 15784]"
mp-1231,Cr3Ga,"[626025, 626021, 102767, 626022, 102768]"
mp-12315,DyBO3,[59849]
mp-12322,RbGd2CuS4,[59896]
mp-12324,CsVP2S7,[59910]
mp-12337,NaLa2OsO6,[170175]
